nombre,dni,genero,pelicula,formato,precio,fecha_visita
Robert Stone,50762923,M,8. The Lord of the Rings: The Return of the King,Normal,8.1,2017-08-18
Kelsey Moore,59304826,F,21. Casablanca,3D,10.67,2023-06-21
Joyce Vasquez,41146100,F,16. Star Wars: Episode IV - A New Hope,3D,10.02,2021-01-06
Mr. Daniel Kelly,70470210,M,24. Forrest Gump,Normal,6.51,2021-07-10
Dr. Daniel Hoffman,14931211,M,7. Star Wars: Episode V - The Empire Strikes Back,3D,13.11,2015-12-28
Laura Smith,76524992,F,25. Inception,Normal,6.5,2015-07-05
Marie Page,89495637,F,23. Seven Samurai,Normal,7.32,2018-06-09
Dana Koch,11169659,F,15. Metropolis,Normal,6.44,2021-05-19
Brendan Watson,49972674,M,24. Forrest Gump,Normal,6.34,2023-05-18
Mr. Eric Smith,13543392,M,1. The Shawshank Redemption,Normal,7.54,2023-05-05
Claudia Jensen,46401966,F,4. 12 Angry Men,3D,10.99,2017-09-15
Timothy Hutchinson,88845361,M,25. Inception,Normal,8.96,2022-05-17
Darren Lynch,91102794,M,14. 2001: A Space Odyssey,Normal,6.71,2024-05-26
Kurt Jensen,81206155,M,22. The Wizard of Oz,Normal,7.0,2022-05-05
Thomas Johnson,99659284,M,15. Metropolis,3D,10.08,2018-10-10
Anne Russell,29535292,F,7. Star Wars: Episode V - The Empire Strikes Back,Normal,7.22,2019-09-27
Alexandra Fleming,51975887,F,23. Seven Samurai,Normal,7.33,2020-01-08
Tracy Barnes,77795032,F,"6. The Good, the Bad and the Ugly",3D,13.09,2017-06-26
George Hernandez,79428890,M,5. Schindler's List,3D,11.51,2016-03-27
Denise Carpenter,14985320,F,19. The Matrix,Normal,8.22,2016-12-28
Calvin Dominguez,90051677,M,13. Psycho,3D,11.81,2025-01-14
Colin Cannon,58007115,M,19. The Matrix,Normal,6.33,2022-09-28
Michael Moore,33222913,M,23. Seven Samurai,Normal,6.07,2022-07-30
Fernando Horton,46501054,M,5. Schindler's List,3D,12.06,2017-04-24
Margaret Alvarado,70175177,F,21. Casablanca,3D,13.57,2019-07-09
Marcus Griffin,49514003,M,21. Casablanca,Normal,7.37,2022-04-27
Joseph Nielsen,70494172,M,15. Metropolis,Normal,7.95,2016-12-08
Jason Johnston,59299120,M,20. Raiders of the Lost Ark,3D,13.81,2024-10-27
Stephen Johnson,19990793,M,12. Fight Club,Normal,6.24,2023-06-06
Rebecca Thomas,63285618,F,8. The Lord of the Rings: The Return of the King,3D,13.67,2021-05-19
Ronald Cooper MD,54770919,M,5. Schindler's List,3D,10.16,2020-02-24
Hannah Serrano,92403863,F,13. Psycho,Normal,6.36,2024-06-13
Garrett Griffith,51685068,M,20. Raiders of the Lost Ark,Normal,6.21,2020-09-02
John Wright,97065783,M,21. Casablanca,Normal,6.71,2025-04-20
Michele Green,97917953,F,20. Raiders of the Lost Ark,Normal,6.27,2019-09-22
Tyler Ritter,26908388,M,5. Schindler's List,3D,11.96,2020-07-05
Teresa Dudley,11225073,F,22. The Wizard of Oz,3D,12.11,2018-02-19
Brianna Reed,54423077,F,24. Forrest Gump,Normal,8.68,2015-06-01
John Estrada,75362457,M,22. The Wizard of Oz,Normal,8.32,2022-02-02
Jimmy Peck,90783657,M,24. Forrest Gump,3D,13.43,2016-02-05
Sydney Lopez,27167276,F,10. The Godfather Part II,Normal,7.8,2016-07-08
Carlos Ayers,94487807,M,3. Citizen Kane,3D,12.47,2021-02-21
Lisa Castro,97316908,F,7. Star Wars: Episode V - The Empire Strikes Back,3D,11.32,2016-01-06
Brent Montes,61054915,M,"6. The Good, the Bad and the Ugly",Normal,8.99,2016-12-28
Amanda Bonilla,72278166,F,22. The Wizard of Oz,3D,13.11,2019-11-04
Dawn Vincent MD,17323116,F,18. Terminator 2: Judgment Day,3D,11.02,2025-03-12
Isabella Torres,98037116,F,12. Fight Club,3D,10.84,2025-03-09
Dr. Michael Stevenson,64312352,M,15. Metropolis,Normal,6.6,2025-01-19
Benjamin Kane,22360934,M,4. 12 Angry Men,3D,13.37,2020-09-26
James Brown,65935524,M,7. Star Wars: Episode V - The Empire Strikes Back,Normal,7.49,2024-07-30
Carrie King,46242916,F,7. Star Wars: Episode V - The Empire Strikes Back,Normal,6.91,2022-05-02
Theresa Vaughn,83767221,F,15. Metropolis,Normal,6.03,2022-12-01
Thomas Johnson,92119910,M,9. The Dark Knight,Normal,7.45,2015-06-25
Christopher Goodwin,64075340,M,14. 2001: A Space Odyssey,Normal,6.54,2020-08-17
Stephen Oconnor,85474082,M,1. The Shawshank Redemption,Normal,6.85,2016-07-08
John Rose,19969009,M,22. The Wizard of Oz,3D,11.12,2022-07-22
Angel Davis,73146592,M,15. Metropolis,Normal,7.44,2020-03-25
Alexander Cole,24007530,M,21. Casablanca,Normal,7.94,2024-03-10
Travis Smith,77573467,M,25. Inception,3D,13.21,2018-07-07
Christopher Parks,40096720,M,20. Raiders of the Lost Ark,3D,11.91,2022-09-23
Jamie Meyers,62842584,M,14. 2001: A Space Odyssey,3D,11.62,2025-03-07
Wendy Huang,74584827,F,12. Fight Club,Normal,6.08,2017-11-22
Carrie Hunt,89117389,F,20. Raiders of the Lost Ark,3D,10.51,2018-12-23
Joseph Wright,35686666,M,18. Terminator 2: Judgment Day,3D,12.01,2024-10-24
Joseph Gray,84753981,M,16. Star Wars: Episode IV - A New Hope,Normal,8.85,2016-02-19
Makayla Riley,56590739,F,25. Inception,3D,11.44,2017-10-23
Patricia Romero,67008783,F,13. Psycho,Normal,8.35,2015-11-15
Michelle Anderson,21481300,F,3. Citizen Kane,Normal,8.54,2017-06-26
Brandy Carlson,28428177,F,12. Fight Club,3D,11.95,2022-12-27
Christopher Carroll,93092239,M,15. Metropolis,Normal,7.63,2018-06-05
Mrs. Tonya Sullivan,80432556,F,1. The Shawshank Redemption,Normal,7.52,2021-07-07
Sheila Alvarado,59254356,F,21. Casablanca,3D,11.09,2015-12-07
Melanie Campbell,63533308,F,10. The Godfather Part II,3D,11.15,2016-08-12
Michael Harrison,15143200,M,17. The Lord of the Rings: The Fellowship of the Ring,Normal,8.15,2024-12-23
Christine Dougherty,48843803,F,19. The Matrix,3D,12.23,2019-03-08
Catherine Gonzalez,95418726,F,1. The Shawshank Redemption,3D,12.91,2016-09-24
Richard Snyder,16605889,M,4. 12 Angry Men,Normal,7.2,2017-09-05
Rebecca Cooper,77686964,F,14. 2001: A Space Odyssey,Normal,7.34,2018-12-28
Casey Porter,11695891,M,18. Terminator 2: Judgment Day,3D,10.04,2021-07-15
Lisa Gray,68866047,F,24. Forrest Gump,Normal,6.99,2020-08-29
Alvin Cortez,72917584,M,19. The Matrix,3D,12.98,2022-06-12
Lisa Hall,27071764,F,4. 12 Angry Men,3D,12.68,2020-02-05
Michael Torres,57520749,M,12. Fight Club,3D,11.74,2021-07-31
Dana Thompson,52684130,F,17. The Lord of the Rings: The Fellowship of the Ring,Normal,8.62,2017-01-02
Devin Castillo,59771272,M,11. Pulp Fiction,Normal,8.8,2015-08-10
Stephen Chapman,94646385,M,9. The Dark Knight,3D,10.24,2017-11-25
Jeremy Allen,69895807,M,14. 2001: A Space Odyssey,3D,11.97,2024-07-02
Taylor Hall,32206861,F,20. Raiders of the Lost Ark,Normal,6.85,2023-06-28
Sydney Blackwell,27478075,F,4. 12 Angry Men,Normal,6.87,2016-08-11
Robert Villegas,42494419,M,18. Terminator 2: Judgment Day,3D,12.07,2023-11-13
Stephanie Patel,33311019,F,22. The Wizard of Oz,3D,13.61,2022-12-16
Kenneth Jones,48464444,M,16. Star Wars: Episode IV - A New Hope,Normal,6.98,2019-02-12
Lisa Maddox,25912463,F,17. The Lord of the Rings: The Fellowship of the Ring,3D,10.7,2016-12-12
Kimberly Williams,42416077,F,2. The Godfather,Normal,6.33,2024-05-13
Alec Nichols,73683273,M,25. Inception,Normal,6.77,2021-11-20
Cheryl Miller,19201195,F,22. The Wizard of Oz,3D,10.03,2019-06-03
Melanie Bell,38526154,F,5. Schindler's List,3D,10.34,2024-07-29
Michael Taylor,90283499,M,7. Star Wars: Episode V - The Empire Strikes Back,Normal,7.31,2018-05-30
Charles Cameron,19162423,M,7. Star Wars: Episode V - The Empire Strikes Back,3D,11.7,2021-10-08
Kyle Soto,65336432,M,5. Schindler's List,Normal,7.93,2019-09-18
Christopher Guzman,60959735,M,21. Casablanca,3D,10.1,2016-01-10
Carrie Stevens,30460231,F,2. The Godfather,3D,10.36,2018-06-02
Julie Brown,84230879,F,5. Schindler's List,Normal,8.3,2020-06-06
Sharon Love,52589130,F,7. Star Wars: Episode V - The Empire Strikes Back,3D,13.61,2016-12-14
Miguel Brown,57680018,M,14. 2001: A Space Odyssey,3D,10.47,2022-04-05
Brittany Cabrera,75393503,F,12. Fight Club,3D,13.17,2024-07-04
Justin Martin,77111742,M,18. Terminator 2: Judgment Day,Normal,6.67,2017-09-09
Susan Hunter,89622892,F,24. Forrest Gump,Normal,7.69,2023-02-18
Jill Johnson,18842635,F,14. 2001: A Space Odyssey,3D,10.0,2021-11-09
Stephen Reynolds,21552406,M,12. Fight Club,3D,11.18,2024-06-06
Miss Jessica Hunter,13536596,F,"6. The Good, the Bad and the Ugly",3D,11.02,2016-04-20
Gregory Butler,98291508,M,20. Raiders of the Lost Ark,3D,12.63,2023-06-02
Daniel Owens,16846447,M,25. Inception,3D,11.92,2016-06-15
Calvin Berger,61368560,M,10. The Godfather Part II,Normal,8.54,2021-07-21
Karen Esparza,59338112,F,3. Citizen Kane,3D,13.18,2020-05-24
Darius Nguyen,22565783,M,23. Seven Samurai,3D,10.04,2022-03-07
Dennis Chaney,47497991,M,24. Forrest Gump,Normal,8.58,2023-12-09
Terry Brennan,49865846,F,2. The Godfather,3D,13.07,2017-04-30
Adam Davenport,75448059,M,16. Star Wars: Episode IV - A New Hope,3D,10.43,2025-03-13
Jennifer Cruz,98249510,F,9. The Dark Knight,Normal,7.58,2016-09-28
Martha Tyler,13923487,F,11. Pulp Fiction,3D,11.91,2019-07-05
Andrew Hanson,77052397,M,21. Casablanca,Normal,6.38,2024-05-16
Jennifer Brown,23449983,F,16. Star Wars: Episode IV - A New Hope,Normal,7.82,2017-03-29
Alex Palmer,68706910,M,12. Fight Club,Normal,8.92,2023-03-15
Sherri Bates,43864307,F,2. The Godfather,3D,11.77,2018-09-30
Dennis Warren,66468478,M,2. The Godfather,3D,12.91,2015-06-09
John Smith,67691395,M,21. Casablanca,Normal,6.36,2022-09-22
Megan Nicholson,54618310,F,16. Star Wars: Episode IV - A New Hope,3D,10.77,2017-08-06
Jessica Blackburn,83590650,F,2. The Godfather,Normal,8.66,2023-10-20
Theodore Curtis,28083333,M,"6. The Good, the Bad and the Ugly",3D,13.21,2023-05-29
Jeremiah Nichols,20861566,M,14. 2001: A Space Odyssey,Normal,7.05,2021-04-16
Emily Eaton,70874093,F,23. Seven Samurai,3D,11.38,2015-11-15
Martin Richardson,57224040,M,3. Citizen Kane,3D,10.32,2019-08-28
Jaclyn Gomez,58591083,F,18. Terminator 2: Judgment Day,3D,12.34,2024-04-11
William Miller,11795389,M,1. The Shawshank Redemption,3D,13.28,2016-09-17
Erik Briggs,28834718,M,5. Schindler's List,3D,10.9,2023-03-28
Aaron Anderson,15793937,M,25. Inception,3D,13.75,2025-04-01
Christopher Bauer,93028382,M,4. 12 Angry Men,3D,12.2,2024-07-04
Jason Montes,95940880,M,11. Pulp Fiction,3D,13.87,2016-08-28
Thomas Garcia,66947128,M,25. Inception,3D,13.14,2024-04-24
David Robinson,54257535,M,16. Star Wars: Episode IV - A New Hope,Normal,8.53,2016-03-11
Tom Schmidt,78077291,M,22. The Wizard of Oz,3D,13.68,2022-10-25
Melissa Jensen,82968787,F,20. Raiders of the Lost Ark,Normal,7.04,2020-06-26
Darlene Cruz,24560514,F,24. Forrest Gump,3D,11.46,2020-05-01
Jennifer Moore,46701858,F,18. Terminator 2: Judgment Day,Normal,6.46,2017-08-11
Aaron Lamb,16764763,M,12. Fight Club,3D,12.11,2017-12-19
Julie Santana,12505463,F,2. The Godfather,Normal,8.09,2022-03-10
Heather Carroll,48439315,F,1. The Shawshank Redemption,Normal,7.9,2020-09-02
Stephanie Myers,29983400,F,14. 2001: A Space Odyssey,3D,12.67,2019-06-26
Anita Reyes,75636739,F,7. Star Wars: Episode V - The Empire Strikes Back,Normal,8.98,2020-05-06
Scott Anderson,51296917,M,5. Schindler's List,Normal,8.81,2016-12-31
Jessica Hill,25888507,F,22. The Wizard of Oz,Normal,6.54,2017-08-02
John Zamora,19745826,M,12. Fight Club,3D,11.27,2015-12-14
Christopher Cruz,57198950,M,7. Star Wars: Episode V - The Empire Strikes Back,3D,11.26,2023-08-14
Michelle Gibson,12309070,F,18. Terminator 2: Judgment Day,Normal,6.65,2024-10-28
Natasha Harris,96253379,F,13. Psycho,Normal,8.35,2015-11-14
Ellen Salazar,97761337,F,20. Raiders of the Lost Ark,3D,10.75,2020-09-02
Lisa Branch,99891407,F,17. The Lord of the Rings: The Fellowship of the Ring,3D,13.1,2023-02-02
John Steele,90011937,M,15. Metropolis,Normal,6.23,2019-04-21
Benjamin Thompson,83917311,M,15. Metropolis,3D,10.42,2016-07-15
David Flores,57690698,M,2. The Godfather,Normal,6.99,2022-10-13
Laura Cook,65405991,F,2. The Godfather,3D,13.18,2023-05-10
Leah Smith,80117992,F,13. Psycho,3D,10.93,2015-12-22
Valerie Vazquez,12413152,F,25. Inception,3D,10.32,2024-01-15
Matthew Knight,32063463,M,20. Raiders of the Lost Ark,Normal,7.41,2023-03-23
Stephanie Smith,53027967,F,21. Casablanca,Normal,8.24,2016-03-05
Sandra Collins,86606924,F,11. Pulp Fiction,Normal,8.72,2024-11-17
John Boyd,87882409,M,"6. The Good, the Bad and the Ugly",Normal,8.34,2020-11-18
Brandon Dougherty,54542544,M,14. 2001: A Space Odyssey,Normal,8.21,2025-01-23
Abigail Weiss,15042209,F,20. Raiders of the Lost Ark,3D,12.63,2019-10-22
Raymond Lee,93702592,M,14. 2001: A Space Odyssey,Normal,6.45,2018-01-04
Brian Contreras,64932731,M,1. The Shawshank Redemption,3D,12.36,2019-04-07
Adrian Ho,10758942,M,2. The Godfather,Normal,6.35,2015-09-06
Bethany Jones,92533466,F,16. Star Wars: Episode IV - A New Hope,3D,12.16,2020-05-18
Sean Oneill,16372839,M,8. The Lord of the Rings: The Return of the King,Normal,6.39,2020-03-05
Elizabeth Fields,69424257,F,12. Fight Club,Normal,6.35,2016-08-23
David Owens,20513936,M,18. Terminator 2: Judgment Day,3D,12.4,2017-08-02
Katherine Jones,43010947,F,10. The Godfather Part II,Normal,7.15,2021-08-25
Wendy Aguilar,48537109,F,15. Metropolis,3D,13.32,2023-08-02
Amanda Freeman,32615383,F,12. Fight Club,3D,13.42,2023-12-18
David Murphy,24871138,M,20. Raiders of the Lost Ark,Normal,6.2,2016-05-27
Michelle Cobb,10043293,F,25. Inception,Normal,6.13,2017-01-10
Ann Underwood,74476788,F,25. Inception,3D,10.88,2016-08-18
Robert Melton,32603239,M,19. The Matrix,3D,13.36,2023-07-26
Brad Paul,26993266,M,7. Star Wars: Episode V - The Empire Strikes Back,Normal,7.72,2022-11-28
Zachary Davis,72337788,M,8. The Lord of the Rings: The Return of the King,3D,13.03,2017-11-24
Caitlyn Curtis,20485937,F,12. Fight Club,Normal,8.19,2016-08-07
Maria Welch,68621034,F,14. 2001: A Space Odyssey,Normal,6.02,2022-02-18
Dr. Christopher Lewis,94201446,M,9. The Dark Knight,3D,11.33,2019-02-27
Christopher Valencia,39922299,M,3. Citizen Kane,3D,10.44,2021-10-19
Corey Oliver,68478483,M,19. The Matrix,3D,10.22,2020-03-06
Robert Johnson,31636028,M,20. Raiders of the Lost Ark,3D,13.31,2016-03-14
Tammy Davis,27340515,F,23. Seven Samurai,3D,13.57,2024-03-21
Holly Brooks,58478242,F,22. The Wizard of Oz,3D,11.97,2023-12-07
Judy Lewis,92182707,F,11. Pulp Fiction,3D,13.65,2023-12-12
Elizabeth Fernandez,28812844,F,14. 2001: A Space Odyssey,Normal,8.3,2016-02-11
James Leonard,58413877,M,18. Terminator 2: Judgment Day,3D,10.6,2023-06-26
Joshua Lyons,23130700,M,9. The Dark Knight,Normal,6.39,2016-11-19
Sarah Mendoza,93393715,F,4. 12 Angry Men,Normal,7.69,2018-09-13
