nombre,dni,genero,pelicula,formato,precio,fecha_visita
Tina Robinson,92290980,F,The Adventures of Lieutenant Petrosino,Normal,7.74,2025-12-19
Bradley Wagner,59114648,M,La malquerida,3D,13.51,2026-04-09
Mary Gonzales,94007413,F,Die Landstraße,Normal,7.72,2025-08-29
John Robbins,53756905,M,The Life and Death of King Richard III,Normal,6.91,2025-07-23
Regina Mullins,72001022,F,Martin Eden,Normal,8.16,2025-10-04
Bonnie Velazquez,42763272,F,The Girl of the Sunny South,3D,11.32,2026-03-21
Tiffany Armstrong MD,19599621,F,The Might of Gold,3D,10.66,2026-03-14
Jerry Smith,94047744,M,Nell of the Circus,3D,10.75,2026-02-12
Denise Calhoun,60633112,F,Captain Swift,Normal,6.37,2026-03-19
Maureen Miller,24549134,F,In the Stretch,3D,10.43,2025-10-26
Matthew Vasquez,21414934,M,The District Attorney,3D,13.22,2026-02-15
Ruth Greer,89699346,F,In the Land of the Head Hunters,3D,13.63,2026-03-09
Terry Young,62474323,M,Buckshot John,Normal,6.34,2025-09-02
Christine Compton,92525109,F,The Lotus Dancer,Normal,6.38,2026-04-12
Aaron Garcia,22384429,M,Ungarische Rhapsodie,3D,10.62,2025-07-30
Melissa Smith,62713490,F,Northern Lights,3D,11.52,2025-12-30
Laura Vasquez,96159237,F,Evangeline,Normal,6.88,2025-09-05
James Brennan,38077711,M,Smith's Knockabout Theatre,3D,11.81,2026-03-24
Douglas Fox,59459662,M,Atlantis,3D,10.9,2026-01-17
Carolyn Allen,45004679,F,Cabiria,3D,13.83,2025-09-17
Samuel Macdonald,42360516,M,John Barleycorn,3D,13.98,2026-03-15
Donna Cross,44765055,F,The Four Poster Pest,3D,11.57,2025-10-26
Jessica Rocha,30882148,F,Pagan Rome,3D,10.09,2026-03-30
Jessica Hernandez,31919282,F,Down with Weapons,Normal,7.01,2025-05-31
Nancy Richards,23516537,F,Cameo Kirby,Normal,8.89,2025-05-06
Krista Diaz,80521882,F,Lucille Love: The Girl of Mystery,3D,11.51,2025-08-15
Laura Avila,83637679,F,The Mail Order Wife,Normal,6.77,2025-10-24
Rachel Hart,45461597,F,Salome Mad,Normal,6.19,2025-10-16
Adrienne Jones,90301102,F,La deuda del pasado,3D,12.51,2026-02-25
Adam Jones,65784638,M,Comrade John,3D,11.22,2026-01-29
Kyle Oconnell,61127993,M,The Great Leap: Until Death Do Us Part,Normal,7.1,2025-10-17
Cody Swanson,43077027,M,Comrade John,3D,13.87,2025-05-30
Louis Barnett,56707706,M,A Cultura do Cacau,Normal,8.75,2025-09-03
Matthew Kaiser,54579077,M,Cap'n Eri,Normal,7.71,2026-03-14
Darren Campbell,14305311,M,Colonel Carter of Cartersville,Normal,7.34,2026-01-10
Whitney Morris,37889626,F,The Barnstormers,Normal,8.4,2026-05-06
Mary Gallegos,82846282,F,Buckshot John,Normal,6.68,2026-04-06
Laurie Greer,12391954,F,Children of the Ghetto,3D,11.13,2026-02-13
Troy Sharp,43355400,M,The Doubt,Normal,8.69,2025-08-11
Mark Robbins,58190593,M,Dolken,3D,10.1,2025-09-18
Jacob Nolan,80757329,M,The Truth Wagon,3D,12.31,2026-04-13
Christine Williams,37706260,F,The Coward,Normal,7.0,2025-05-30
Chris Wilcox,96711434,M,The Lust for Gold,Normal,7.69,2026-02-23
Ivan Whitehead,54795166,M,Charles IV,Normal,7.5,2026-03-24
Erica Cole,33692333,F,Fantomas: The Mysterious Finger Print,Normal,6.93,2025-09-28
Jessica Martinez,88443670,F,The Ring and the Man,3D,10.88,2026-04-29
Jennifer Howard,25176092,F,La echadora de cartas,3D,10.78,2026-04-06
Eric Charles,40067351,M,A Factory Magdalen,Normal,8.14,2026-04-04
Bonnie Brown,46193938,F,The Black Diamond,3D,13.66,2025-12-10
Roberto Jackson,29903813,M,The Invisible Power,3D,13.99,2026-05-06
John Moore,37361521,M,Niños en la alameda,Normal,6.61,2026-03-22
Monique Brewer,56431918,F,Captain Courtesy,Normal,8.53,2026-01-24
Sarah Sutton,27871326,F,Man of the Hour,Normal,8.66,2026-02-09
Ana Hutchinson,64226096,F,Carmen,3D,10.85,2025-06-05
Jessica Wilson,54471650,F,Sealed Orders,Normal,7.99,2026-05-02
Ralph Lee,44650792,M,Zona olivarera,3D,11.95,2026-01-26
John Paul,56165690,M,El Caín moderno,3D,11.38,2025-12-04
Regina Young,78494958,F,The Education of Mr. Pipp,3D,10.42,2026-01-21
Miranda Edwards,74998226,F,Jess of the Mountain Country,Normal,8.24,2025-11-11
Susan Ortega,10823311,F,A Gentleman from Mississippi,Normal,7.26,2026-03-12
James Ruiz,90239196,M,Michael Strogoff,Normal,8.4,2026-04-13
Anna Gomez,78624586,F,Rose of the Alley,Normal,7.08,2026-03-17
Destiny Russell,90919800,F,A Million Bid,3D,12.31,2025-09-03
John Gonzalez,34001138,M,Love Never Dies,3D,12.6,2026-02-12
Kelly Vaughn,35859751,F,A Child of the Prairie,3D,11.63,2025-08-01
Thomas Terrell,72555215,M,Dodge City Trail,Normal,7.2,2025-07-14
Amanda Peters,58264829,F,Cap'n Eri,Normal,7.1,2025-09-18
Tyler Nunez,58130226,M,La vida en el campamento,3D,11.56,2025-07-01
Kimberly Bates,49878095,F,The Straight Road,Normal,8.57,2025-12-10
Stephen Morrison,52789920,M,Bánk bán,Normal,6.39,2025-09-05
Dominique Winters,50780007,F,Saved in Mid-Air,Normal,8.76,2026-04-20
Beth Powers,70299527,F,Le dernier pardon,Normal,7.59,2026-04-27
Shawn Ayala,49948787,M,Nell of the Circus,3D,13.87,2025-06-26
Gregory Ray,14715881,M,Melilla y el Gurugu,Normal,6.95,2025-08-13
Dennis Clark,47743243,M,Die Sumpfblume,Normal,8.57,2026-01-24
Gerald Velazquez,72515884,M,War Is Hell,Normal,6.03,2025-12-09
Victoria Brown,20466545,F,The Diamond Robbery,3D,11.62,2026-04-14
Adam Morrow,14131545,M,The House of Bondage,Normal,6.67,2025-11-18
Mr. Jeffrey Copeland,54682982,M,Fatum,3D,10.18,2025-12-18
Karen Webb,15353775,F,The Butterfly,3D,11.74,2025-10-23
Kara Sampson,90449010,F,Black Fear,Normal,7.23,2025-06-15
Jorge Wilson,58108006,M,Gatans barn,3D,11.35,2026-03-17
Elizabeth Nguyen,95874049,F,In the Bishop's Carriage,Normal,8.52,2026-04-10
Mia Gonzales,47996473,F,On the Belgian Battlefield,Normal,6.61,2025-11-05
Gabriel Smith,81016715,M,Madero al sur del país,Normal,7.16,2026-01-23
Ryan Smith,31295312,M,Fiestas en Palafrugell,Normal,8.21,2025-09-15
Nicholas Ward,58344023,M,Marta of the Lowlands,3D,11.12,2025-06-08
Andrea Dorsey,79739929,F,Tragic Night,Normal,8.41,2025-05-10
Cassandra Acosta,54080231,F,Oliver Twist,Normal,8.68,2025-05-10
Beverly Castillo,16906692,F,La festa del Blat,3D,12.83,2026-03-14
Maria Chen,37142331,F,La vida en el campamento,3D,10.02,2025-06-22
Susan Bradford,88297482,F,The Four Poster Pest,Normal,7.51,2026-03-13
Stephen Rodriguez,24309858,M,The Better Man,3D,13.6,2025-09-10
Richard Miller,73677728,M,Facing the Gattling Guns,Normal,8.81,2025-08-09
Tiffany Kirby,74972127,F,La festa del Blat,Normal,8.11,2025-08-21
Wendy Thompson,15003171,F,Are They Born or Made?,Normal,6.65,2026-01-26
Alyssa Cook,90803454,F,Children of Eve,Normal,7.62,2025-12-24
Richard Davis,79393026,M,Should a Woman Divorce?,3D,13.18,2025-10-19
Steven Thomas,13487423,M,The Great Leap: Until Death Do Us Part,Normal,8.82,2026-01-06
Douglas Webster,29184441,M,Die große Sünderin,3D,10.67,2025-07-21
Joshua Cruz,80264724,M,Toma del Gurugu,Normal,8.53,2025-12-24
Tracy Smith,90898364,F,The Mystery of a Hansom Cab,Normal,8.16,2025-08-18
Mary Martin,47129065,F,Lucha por la herencia,3D,12.15,2025-12-25
Heather Hernandez,12065115,F,The Apaches of Paris,3D,12.73,2025-06-26
Megan Hernandez,98299695,F,Should a Woman Divorce?,Normal,8.67,2025-09-04
Kyle Kelley,93524248,M,The Castle of Thornfield,Normal,6.31,2025-11-21
Miss Alexis Tanner MD,28631886,F,Orientalsk dans,3D,10.69,2025-06-24
Briana Baker,38102677,F,La chavala,3D,11.79,2025-06-21
Scott Wood,50358698,M,Who Will Marry Mary?,Normal,6.37,2026-02-25
Megan Benson,63038288,F,Die Tangokönigin,3D,13.44,2026-04-16
Laura Perkins,63807094,F,Rose of the Rancho,Normal,7.81,2026-03-01
Tiffany Mclaughlin,32049754,F,The Darkening Trail,3D,13.2,2026-04-01
Laurie Rivas,37637950,F,Sherlock Holmes VI,3D,12.01,2025-11-29
Rhonda Turner,58755304,F,The Arab,Normal,6.71,2026-01-20
Amber Bentley,36484678,F,The Life of Moses,3D,10.77,2026-01-19
Michael Hicks,61007634,M,Carmen,Normal,8.05,2026-04-20
Chris Gomez,68138556,M,A Florida Enchantment,3D,11.48,2025-07-21
Matthew Rodriguez MD,49242373,M,Colorado,Normal,7.17,2025-10-22
Julie Harris,13015119,F,Marocco en het Vreemdelingenlegioen,3D,11.7,2026-01-25
Mr. Timothy Hamilton DDS,59112216,M,The Banker's Daughter,Normal,8.03,2025-05-07
Dr. Christian Haynes,70436027,M,The Absentee,Normal,7.51,2025-12-08
Felicia Fuentes,59063001,F,Where the Trail Divides,3D,12.74,2026-03-20
Michael Morales,88311001,M,The Cheat,Normal,6.22,2025-10-04
Michael Weber,30861473,M,The Crime and the Criminal,Normal,6.73,2026-04-26
Christine Brown,67528723,F,The Scales of Justice,3D,11.02,2026-04-02
John Rogers,68515176,M,The Butterfly,Normal,6.05,2025-11-25
Mary Jones,69802792,F,Den kulørte slavehandler,Normal,7.58,2026-01-07
Ashley Miller,16764081,F,The Fatal Night,3D,13.62,2025-06-10
Jeremy Savage,97364692,M,Comrade John,3D,13.15,2025-05-11
Melissa Taylor,82617711,F,Assunta Spina,3D,14.0,2026-02-23
Joshua Wilson,78160770,M,Anna Karenina,Normal,8.71,2026-03-11
Kristin Patterson,52993549,F,La secta de los misteriosos,3D,13.76,2026-04-10
Megan Jones,47340350,F,The Governor's Ghost,Normal,8.67,2026-05-04
Kevin Jones,53244865,M,The Virgin of the Rocks,Normal,8.3,2026-02-28
Christian Wiley,20853398,M,The Prodigal Son,3D,11.92,2025-08-20
Nancy Stein,46819708,F,La echadora de cartas,3D,11.21,2025-08-13
Taylor Robinson,85315929,F,The Span of Life,3D,12.92,2025-10-31
Michael Gilbert,35339529,M,Der Eid des Stephan Huller,3D,10.02,2025-11-23
Anna Rodriguez,89733969,F,Hamlet,3D,11.02,2025-12-06
Timothy Avery,22158133,M,Without Hope,3D,12.08,2025-10-11
Kevin Peters MD,90118009,M,Dolken,Normal,6.08,2025-09-21
Sharon Ward,21971310,F,Apuntes de la fiesta de la flor,3D,10.97,2026-01-29
Patrick Wagner,26735524,M,The Key to Yesterday,Normal,6.49,2025-12-17
Kevin Johnson,91106984,M,The Cowboy and the Lady,3D,12.52,2025-05-21
Jeremy Baldwin,17722007,M,The Toll of Mammon,Normal,6.38,2026-02-08
Lindsay Elliott,41651028,F,A Dança dos Apaches,3D,10.48,2025-11-28
Sandra Coleman,75251178,F,The Crown Prince's Double,3D,11.18,2025-10-28
Kenneth Preston,10333638,M,Noche de sangre,Normal,8.94,2026-01-16
Hector Mccarthy,33256659,M,A Child of the Prairie,3D,12.74,2026-04-19
Kathryn Cortez,83808772,F,La luz que vuelve,3D,13.86,2025-07-06
Brian Harper,30977861,M,Homenaje a Lanuza,3D,13.23,2026-03-10
Michael Brown,36713881,M,Los muertos hablan,Normal,7.17,2025-08-06
Kimberly Thomas,38543212,F,As Ye Sow,3D,11.83,2026-01-22
Lisa Smith,20432852,F,The Naked Truth,Normal,6.59,2025-10-25
Stephanie Chen,71312273,F,The Merchant of Venice,Normal,6.1,2025-06-01
William Ortiz,67396304,M,The Million Dollar Robbery,Normal,8.86,2026-03-22
Taylor Alvarado,84760087,F,The Escape,3D,12.29,2025-12-27
Elizabeth Strickland,16925944,F,Paul J. Rainey's African Hunt,Normal,7.1,2025-08-16
Joe Collins,44569803,M,The Mighty Dollar,3D,13.72,2025-10-29
Miranda George,93543858,F,Over Niagara Falls,3D,12.89,2026-04-05
Rebecca Schmitt,97767757,F,Beneath the Czar,3D,10.76,2025-06-01
Nicole Hill,54855153,F,After the Ball,3D,12.73,2025-08-28
Mike Lewis,32438453,M,A Princess of Bagdad,3D,13.43,2025-08-17
Joseph Green,19534965,M,The Diamond from the Sky,3D,10.77,2025-05-28
Brandon Hensley,52702167,M,The Tangle,3D,13.12,2025-05-12
Joyce Ellis,30300277,F,Verkannt,3D,11.15,2026-05-04
Nancy Wallace,67158409,F,'Neath Austral Skies,Normal,6.17,2026-01-10
Maurice Page,93750761,M,The Birthmark,3D,13.54,2026-01-20
Holly Weber,58109374,F,The Road to Ruin,Normal,8.54,2025-07-11
Jeremiah Huynh,86182563,M,The Vulture of Gold,3D,13.78,2026-02-20
Mark Sanders,10699009,M,Don Quijote,Normal,6.98,2025-09-02
Zachary Green,67031139,M,Sport Hípico,Normal,8.35,2025-06-20
Megan Mclaughlin,26687084,F,Grannie,Normal,8.88,2026-04-03
Calvin Tran,80438530,M,The Poison Needle,Normal,8.03,2025-08-26
Elizabeth Fisher,50682351,F,The Detective Queen,3D,10.5,2025-09-15
James Robbins,62618822,M,Passionels Tagebuch,3D,11.33,2025-09-25
Matthew Thomas,36553496,M,Prisoner of the Night,Normal,6.39,2025-11-19
Angela Davis,83403190,F,The Banker's Daughter,3D,10.51,2026-05-03
Kim Kennedy,89054348,F,The Coming Power,Normal,7.71,2025-12-24
Jessica Hooper,91758866,F,Un día en Xochimilco,Normal,8.93,2026-04-19
Antonio Alvarado,36507414,M,The Corbett-Fitzsimmons Fight,3D,10.14,2026-03-15
Erika Wells,14149604,F,A Child of the Prairie,3D,11.42,2025-06-02
Bryce Norris,64096337,M,The Eagle's Mate,Normal,6.26,2026-04-22
Hannah Sanders,41034108,F,The Woman in Black,3D,10.2,2026-05-06
Valerie Clark,40779826,F,Maskierte Liebe,3D,12.14,2025-12-20
Ivan Vasquez,48511477,M,Macbeth,Normal,8.53,2026-02-20
Samantha Greer,32054656,F,Half Breed,3D,11.89,2026-04-30
Sarah Moore,73421098,F,A Woman's Triumph,3D,12.67,2025-12-07
Timothy Thomas,62905435,M,The Better Woman,Normal,8.45,2026-04-05
Courtney Paul,12038918,F,Over Niagara Falls,3D,10.53,2026-01-27
Michael Cross,94728647,M,Die Tangokönigin,3D,11.96,2025-08-31
Ian Gray,54382355,M,La primera y segunda casetas,3D,10.1,2025-09-25
Joshua Wood,84349159,M,Marta of the Lowlands,Normal,8.25,2025-07-13
Melissa Allen,86871741,F,La conspiration des drapeaux,Normal,6.08,2025-12-08
Paula Keller,20701082,F,The Burglar and the Lady,Normal,6.46,2026-02-21
Mrs. Connie Bailey,88632329,F,Cameo Kirby,Normal,8.4,2025-05-15
Jacob Maldonado,27678915,M,Volunteer Organist,3D,13.79,2025-07-02
Ronald Kane,30216548,M,The Little Gray Lady,Normal,8.54,2025-11-19
Sarah Garcia,69621499,F,Un portero modelo,Normal,7.51,2025-12-16
Gregory Peters,16032245,M,Fiestas de Santa Lucía - Belenes,3D,10.48,2025-06-21
Walter Gomez,32932067,M,Fantomas: The Man in Black,3D,10.66,2025-08-29
Derrick Sanchez,70134755,M,Herod,3D,10.44,2026-04-19
Randall Ellis,79001354,M,Through Fire and Air,Normal,6.95,2026-04-16
Lonnie Powell,13635401,M,Maskierte Liebe,3D,11.33,2026-01-04
Sharon Duncan,23729239,F,The Devil,Normal,8.12,2025-09-19
Vanessa Mack,86747410,F,La primera y segunda casetas,3D,11.64,2026-04-03
Lindsay Schneider,92167406,F,Don Quixote,Normal,8.86,2026-03-30
Corey Phillips,40797129,M,Tess of the D'Urbervilles,Normal,6.45,2026-02-17
Thomas Maldonado,85386434,M,The Carpet from Bagdad,Normal,8.28,2025-06-29
Gregory Christian,77886250,M,Aloha Oe,3D,11.58,2025-08-11
Connie Thomas,46379403,F,My Husband's Getting Married,3D,13.4,2025-09-29
Hunter Brown,29341624,M,Thais,Normal,6.78,2026-03-24
James Collier,78207935,M,Volunteer Organist,Normal,8.89,2025-05-22
Meagan Young,62341879,F,Mother Love,3D,11.36,2026-01-15
Ronald Fletcher,76068979,M,El crimen del otro,3D,11.25,2025-11-24
Dawn Simon,31332212,F,Valdemar Sejr,Normal,7.61,2025-08-18
William Schultz,44374766,M,The Avalanche,Normal,7.18,2025-06-06
Donna Holt,54193003,F,Mala raza,Normal,8.2,2025-09-10
Diana Simpson,25086593,F,La fuerza del mal,Normal,8.81,2026-04-26
Edward Blair,16721580,M,Tragic Night,3D,10.63,2025-05-15
Joseph Cox,56630835,M,Vicio y virtud,Normal,6.78,2025-06-24
George Perez,21435523,M,A Romance of the Mexican Revolution,Normal,8.99,2025-08-06
Timothy Oconnell,57182384,M,The Wrath of the Gods,3D,10.37,2025-11-27
Jonathan Mcpherson,84733140,M,War Is Hell,Normal,7.95,2026-01-09
Andrew Atkins,67849676,M,Jane Eyre,Normal,8.77,2026-03-27
Katherine Smith,82839469,F,Conscience,Normal,7.06,2025-07-07
Don Smith,66897283,M,Los cabellos blancos,3D,10.38,2025-10-06
Clayton Gutierrez,64871316,M,0-18 or A Message from the Sky,3D,12.58,2026-02-07
George Love,53243069,M,De Garraf a Barcelona,3D,10.97,2025-11-24
Jason Booth,93609570,M,Business Is Business,3D,13.59,2025-09-11
Jessica Martinez,86860666,F,Even Unto Death,Normal,7.02,2025-06-13
William Acevedo,26312903,M,Queen Elizabeth,3D,13.09,2025-06-28
Shawn Freeman,94718552,M,Zu spät,Normal,8.81,2025-11-21
Kendra Rush,82298100,F,The Count of Monte Cristo,3D,11.96,2026-03-27
Debra Campbell,42551154,F,Rosalinda,Normal,8.56,2026-02-03
Patricia Henry,66161593,F,Die Eisbraut,Normal,8.47,2026-02-25
Jesse Allen,74290570,M,The Tide of Death,Normal,6.13,2025-07-01
Mary King,25915235,F,La gitanilla,Normal,6.95,2025-12-07
Mark Campbell,97720819,M,Cleopatra,3D,13.44,2026-03-01
Joseph Barker,52235500,M,The Spy,3D,11.05,2026-04-29
Dustin Turner,17161347,M,After Dark,Normal,7.06,2026-03-28
Timothy Franco,58032756,M,The Spirit of the Poppy,Normal,6.11,2025-11-02
Laura Parks,97283043,F,Sein eigner Mörder,3D,12.45,2026-01-28
Christopher Williams,48784581,M,Salome Mad,3D,12.88,2026-02-11
Gary Torres,10154280,M,The Secret of the Mountain,Normal,7.75,2025-08-02
David Evans,67283229,M,Los cabellos blancos,3D,10.33,2026-03-23
Janet Palmer,33875431,F,Camille,3D,10.92,2026-04-28
Mr. Kevin Haney,89345131,M,Without Hope,3D,11.25,2025-07-14
Lisa Rodgers,79484428,F,The Black Chancellor,3D,12.4,2025-09-05
Thomas Baxter,30193824,M,The Convict Hero,Normal,8.83,2026-03-10
Andrew Williams,51145925,M,Den sorte drøm,Normal,6.77,2026-01-15
Deanna Benson,14809184,F,"The Life of Big Tim Sullivan; or, from Newsboy to Senator",3D,11.62,2025-10-25
Diana Long,31401442,F,The Battle of Gettysburg,3D,11.04,2025-05-21
Tyler Rodriguez,63800226,M,Quo Vadis?,Normal,6.69,2025-08-24
Christina Roberts,67364769,F,Zigomar contre Nick Carter,Normal,6.93,2026-02-14
Ian Fields,19712139,M,The Fatal Night,Normal,8.55,2026-02-10
Carol Williams,62159025,F,The Cub,Normal,7.99,2025-07-14
Ashley Lopez,38924593,F,Die Landstraße,Normal,7.07,2025-05-19
Karen Baxter,13229701,F,Corrida de toros en Calatayud,3D,13.83,2025-07-15
Richard Barker,49738684,M,Kapergasten,Normal,7.14,2025-12-26
Vanessa Huffman,65321964,F,Salomy Jane,3D,13.0,2026-04-28
Janet Wells,39112660,F,Carmen,Normal,7.52,2025-11-14
Nicole Waller,55588883,F,When Broadway Was a Trail,Normal,8.71,2025-11-08
Pamela Hernandez,17793945,F,"How Fine, How Fresh the Roses Were",3D,12.57,2026-03-04
Mr. Aaron Sosa,49200863,M,In the Land of the Head Hunters,Normal,6.28,2025-08-10
Kaitlyn Carpenter,79092669,F,Salomy Jane,Normal,8.21,2025-09-25
Nicole Nielsen,48516782,F,Colonel Carter of Cartersville,Normal,6.57,2025-10-06
Wesley Thomas,53629259,M,The Unwelcome Mrs. Hatch,Normal,6.66,2026-04-03
Jacqueline Smith,39294841,F,With General Pancho Villa in Mexico,3D,12.2,2025-08-10
Sheryl Cruz MD,88545250,F,Fiestas del Coso Blanco en Tarragona,Normal,7.86,2026-01-25
April Gross,59130562,F,Life in a Western Penitentiary,3D,13.05,2026-03-11
Patricia Dunn,79844694,F,The Opened Shutters,Normal,6.07,2026-02-18
Derrick Anderson,85454545,M,Die große Sünderin,Normal,8.47,2025-06-11
Crystal Fuentes,33001950,F,The Crime and the Criminal,Normal,8.81,2025-06-16
Eric Davis,39486477,M,The Christian,Normal,6.9,2026-04-23
