nombre,dni,genero,pelicula,formato,precio,fecha_visita
Zachary Ford,89528390,M,18. Terminator 2: Judgment Day,Normal,6.52,2017-11-11
Nicholas Holmes,39203115,M,14. 2001: A Space Odyssey,3D,11.06,2022-07-17
Matthew Rivers,97579642,M,10. The Godfather Part II,Normal,8.18,2024-02-18
Rebecca Johnson,64636620,F,12. Fight Club,Normal,7.72,2021-03-02
Daniel Rivas,25044023,M,25. Inception,Normal,7.56,2022-03-05
Sharon Solis,38794414,F,16. Star Wars: Episode IV - A New Hope,3D,11.05,2024-01-05
Lisa Cannon,82696094,F,15. Metropolis,Normal,8.44,2023-08-10
Sarah Wright,62091425,F,22. The Wizard of Oz,3D,10.03,2019-04-29
Sara Blair,98310051,F,5. Schindler's List,Normal,6.76,2017-07-06
Jerry Gomez,76346542,M,9. The Dark Knight,Normal,7.76,2019-11-16
Stephen Jordan,22230770,M,7. Star Wars: Episode V - The Empire Strikes Back,3D,12.8,2019-03-06
Carolyn Hernandez,13443782,F,22. The Wizard of Oz,3D,13.36,2025-01-01
Stephen Bailey,28670983,M,"6. The Good, the Bad and the Ugly",Normal,8.72,2025-02-22
Kristina Frank,41009543,F,22. The Wizard of Oz,3D,11.27,2024-04-16
Albert Fisher,85333108,M,1. The Shawshank Redemption,3D,11.95,2019-10-29
Caitlin Ramirez,68120823,F,9. The Dark Knight,Normal,7.61,2021-08-27
Michelle Robinson,65267227,F,4. 12 Angry Men,3D,13.36,2019-02-03
Brian Perry,30874483,M,25. Inception,3D,11.09,2015-05-23
Cheyenne Obrien,86976654,F,25. Inception,Normal,6.77,2019-01-15
William Williams,71561381,M,11. Pulp Fiction,Normal,7.28,2021-04-26
Gerald Scott,90737077,M,12. Fight Club,Normal,7.71,2020-02-19
Alisha Smith,15159755,F,13. Psycho,Normal,8.82,2018-07-01
Kyle Rodriguez,44642575,M,19. The Matrix,3D,12.47,2024-04-19
Rodney Morales,13974029,M,3. Citizen Kane,3D,11.73,2022-06-02
Chelsey Cox,55937498,F,23. Seven Samurai,3D,13.19,2015-10-27
Joshua Reid,54589873,M,17. The Lord of the Rings: The Fellowship of the Ring,Normal,8.15,2024-09-04
Jonathan Buck,66139087,M,9. The Dark Knight,3D,13.04,2018-06-09
Nathan Alexander,69225635,M,12. Fight Club,3D,10.09,2019-04-05
Sean Brown,26993971,M,23. Seven Samurai,3D,13.73,2022-04-25
Victor Cook,89494859,M,19. The Matrix,Normal,7.83,2018-07-19
Vincent Marsh,56627276,M,12. Fight Club,Normal,7.62,2019-07-19
David Wilson,46754156,M,20. Raiders of the Lost Ark,3D,13.81,2024-02-14
David Ramirez,77225902,M,12. Fight Club,Normal,8.05,2016-06-26
Derek Brown,68041063,M,11. Pulp Fiction,3D,13.24,2022-08-25
Brian Cooper,43264959,M,4. 12 Angry Men,3D,10.35,2016-10-16
Edward Clark,20269992,M,18. Terminator 2: Judgment Day,Normal,6.87,2017-01-17
Maria Smith,84856675,F,20. Raiders of the Lost Ark,3D,12.02,2023-07-19
Jamie Welch,37631761,F,18. Terminator 2: Judgment Day,3D,12.74,2022-02-14
Samantha Smith,92819584,F,9. The Dark Knight,Normal,7.4,2023-05-03
Kevin Gonzales,58893836,M,5. Schindler's List,Normal,8.56,2015-05-25
Ashley Bradley,75285311,F,11. Pulp Fiction,3D,13.23,2019-08-21
Nathan Cooper,49655521,M,11. Pulp Fiction,Normal,6.37,2024-12-12
Anne Nelson,30278665,F,12. Fight Club,3D,10.71,2021-05-17
Eric Ray,75195188,M,25. Inception,3D,12.96,2019-08-17
Jeffrey Gilbert,16241614,M,3. Citizen Kane,Normal,8.4,2023-12-20
Matthew Watson,39700222,M,12. Fight Club,3D,11.09,2016-07-31
Deborah Gordon,52463393,F,4. 12 Angry Men,3D,12.59,2021-10-19
Erica Larsen,56994099,F,7. Star Wars: Episode V - The Empire Strikes Back,Normal,6.43,2017-02-03
Kenneth Henry,17023531,M,7. Star Wars: Episode V - The Empire Strikes Back,Normal,7.77,2020-07-02
Paula Lopez,75089824,F,11. Pulp Fiction,3D,10.65,2022-05-15
Tamara Garza,16712640,F,15. Metropolis,Normal,6.42,2016-12-13
Leslie Hanson,50071529,F,17. The Lord of the Rings: The Fellowship of the Ring,Normal,7.76,2021-04-27
Joshua Gonzalez,67821775,M,22. The Wizard of Oz,Normal,7.28,2024-12-12
Shirley Miranda,30332458,F,16. Star Wars: Episode IV - A New Hope,Normal,7.14,2023-03-02
John Murphy,79653624,M,19. The Matrix,3D,10.65,2020-01-06
Frank Scott,20828398,M,14. 2001: A Space Odyssey,Normal,7.16,2017-03-03
Ms. Tina Warren DDS,48917567,F,13. Psycho,3D,10.01,2022-09-17
Julia Parks,85472514,F,25. Inception,3D,11.04,2016-12-20
Justin Love,43072782,M,22. The Wizard of Oz,3D,12.48,2023-12-07
Mary Butler,13006946,F,18. Terminator 2: Judgment Day,Normal,6.04,2018-12-02
Charles Munoz,24228426,M,7. Star Wars: Episode V - The Empire Strikes Back,Normal,7.14,2020-06-12
James Adkins,97691283,M,20. Raiders of the Lost Ark,Normal,6.6,2017-03-31
Brenda Trujillo,93448937,F,21. Casablanca,Normal,6.99,2018-08-13
Mark Obrien,25786675,M,21. Casablanca,Normal,8.25,2023-09-18
Kelly Gentry,60622782,F,22. The Wizard of Oz,3D,13.86,2025-05-06
Shannon Oliver,35163317,F,8. The Lord of the Rings: The Return of the King,Normal,8.69,2020-06-15
David Cox,20232255,M,2. The Godfather,Normal,7.7,2024-07-25
Danielle Taylor,40714451,F,2. The Godfather,Normal,6.81,2021-08-25
Dustin Ryan,75514377,M,15. Metropolis,Normal,6.95,2015-10-28
Samantha Young,16904463,F,16. Star Wars: Episode IV - A New Hope,Normal,8.43,2025-03-11
Cynthia Williams,56472550,F,4. 12 Angry Men,3D,12.91,2022-06-19
Thomas Craig,22856424,M,8. The Lord of the Rings: The Return of the King,3D,12.76,2021-08-12
Kimberly Golden,64036866,F,10. The Godfather Part II,3D,13.57,2023-02-28
Lisa Garcia,11341941,F,2. The Godfather,Normal,8.03,2015-12-07
Samuel West,72786650,M,17. The Lord of the Rings: The Fellowship of the Ring,3D,12.41,2023-03-15
Bryan Smith,39176234,M,20. Raiders of the Lost Ark,3D,13.66,2021-12-27
John Rodgers,21506124,M,8. The Lord of the Rings: The Return of the King,3D,10.43,2016-04-16
Marcus Cannon,15341799,M,4. 12 Angry Men,Normal,6.14,2025-05-04
Carrie Martin,47361933,F,17. The Lord of the Rings: The Fellowship of the Ring,3D,13.74,2023-02-07
Terri Miller,66126824,F,15. Metropolis,Normal,6.62,2018-09-23
John Fuller,21730140,M,24. Forrest Gump,Normal,8.81,2023-05-31
Bonnie Kennedy,29566998,F,14. 2001: A Space Odyssey,Normal,7.29,2025-03-07
Mrs. Dana Shaw,30383034,F,4. 12 Angry Men,Normal,6.25,2015-05-24
Corey Park,75761830,M,1. The Shawshank Redemption,3D,10.44,2017-10-05
Kevin Deleon,87284017,M,7. Star Wars: Episode V - The Empire Strikes Back,3D,13.43,2016-07-30
Kevin Tran,85691542,M,1. The Shawshank Redemption,3D,13.56,2016-10-24
Raymond Flores Jr.,45089217,M,10. The Godfather Part II,Normal,8.78,2023-02-02
Joshua Johnson,68655435,M,15. Metropolis,3D,11.51,2016-01-02
Crystal Allen,70511462,F,3. Citizen Kane,3D,10.74,2020-12-01
Lindsay Miller,80439270,F,23. Seven Samurai,Normal,7.43,2015-06-07
Michael Sanders,54784797,M,8. The Lord of the Rings: The Return of the King,Normal,8.07,2018-05-29
Regina Sanchez,44040409,F,25. Inception,3D,11.75,2020-10-04
Sean Williams,34005548,M,8. The Lord of the Rings: The Return of the King,Normal,8.19,2020-10-16
Karen Murphy,88171276,F,22. The Wizard of Oz,Normal,8.56,2017-11-30
Melanie Smith,81745188,F,7. Star Wars: Episode V - The Empire Strikes Back,3D,11.72,2022-10-10
Tiffany Smith,67230663,F,19. The Matrix,Normal,6.75,2018-06-11
Mrs. Karina Williams,92375712,F,2. The Godfather,Normal,8.34,2025-04-16
Kevin Williams,72330435,M,2. The Godfather,Normal,8.46,2023-06-29
Cynthia Zavala,30180526,F,11. Pulp Fiction,Normal,8.45,2021-09-18
Lauren Rodgers,32095355,F,13. Psycho,3D,10.25,2022-12-19
Carrie Brown,54497443,F,7. Star Wars: Episode V - The Empire Strikes Back,3D,11.63,2018-02-14
Adriana Pearson,89693921,F,14. 2001: A Space Odyssey,Normal,7.89,2019-07-13
Jim Hernandez,60441900,M,12. Fight Club,Normal,6.08,2023-12-23
Cynthia Shelton,86465286,F,24. Forrest Gump,Normal,6.0,2020-09-18
Tanya Olson,92484908,F,23. Seven Samurai,3D,13.36,2020-10-10
Crystal Nelson,77087928,F,23. Seven Samurai,3D,13.19,2018-12-02
Cathy Ashley,55083730,F,23. Seven Samurai,3D,10.71,2015-08-07
Cheryl Williams,34484894,F,17. The Lord of the Rings: The Fellowship of the Ring,Normal,6.29,2021-10-27
Tammy Chambers,78837275,F,4. 12 Angry Men,3D,11.69,2018-06-01
Nathan Banks,89943426,M,9. The Dark Knight,Normal,6.8,2020-04-20
Jennifer Cook,13321164,F,5. Schindler's List,Normal,7.95,2017-01-15
Joel Lloyd,78344111,M,"6. The Good, the Bad and the Ugly",3D,11.91,2019-06-04
Dean Mcdonald,89595228,M,13. Psycho,Normal,8.1,2022-11-02
Barbara Berg,83860492,F,5. Schindler's List,Normal,7.0,2022-06-15
Robert Miller,24146134,M,25. Inception,3D,11.35,2019-01-15
Jason Burgess,57278141,M,11. Pulp Fiction,3D,11.45,2019-08-02
Jeremy Vaughn,59263337,M,12. Fight Club,Normal,7.46,2020-07-19
Philip Alvarez,31024503,M,11. Pulp Fiction,Normal,7.98,2017-05-23
Catherine Fischer,63073746,F,13. Psycho,Normal,8.99,2022-04-28
Joseph Serrano,45125004,M,13. Psycho,3D,11.77,2021-02-15
Jamie Anderson,79129770,F,7. Star Wars: Episode V - The Empire Strikes Back,3D,12.35,2022-05-01
Karl Kim,39367179,M,24. Forrest Gump,Normal,6.12,2017-05-10
Robert Lozano,11271873,M,24. Forrest Gump,3D,12.08,2020-02-08
Kristin Williams,88449247,F,10. The Godfather Part II,Normal,8.89,2017-06-17
Peter Bowen,89710321,M,12. Fight Club,3D,11.25,2020-08-10
Mike Montoya,57973723,M,9. The Dark Knight,Normal,8.96,2023-10-17
Paige Delgado,92857643,F,14. 2001: A Space Odyssey,Normal,6.3,2016-03-28
Ann Bowen,59389183,F,24. Forrest Gump,Normal,6.48,2021-03-28
James Johnson,89125816,M,9. The Dark Knight,Normal,6.34,2025-01-28
Jeffrey Ellis,72440441,M,3. Citizen Kane,3D,10.99,2023-09-12
Jonathan Le,27444589,M,"6. The Good, the Bad and the Ugly",Normal,6.7,2024-05-06
Rebecca Merritt,25412801,F,7. Star Wars: Episode V - The Empire Strikes Back,Normal,6.01,2024-05-25
Monique Castro,76242494,F,13. Psycho,Normal,7.17,2019-07-06
Preston Allen,94217316,M,9. The Dark Knight,3D,13.72,2021-01-04
Brent Goodwin,76230351,M,25. Inception,3D,13.75,2015-08-02
Amy Esparza,69807441,F,2. The Godfather,Normal,6.14,2019-06-11
Nicholas Estrada,87698459,M,8. The Lord of the Rings: The Return of the King,Normal,8.3,2020-01-05
Jacob Lee,42222454,M,1. The Shawshank Redemption,3D,13.07,2018-04-23
Katrina Golden,93901915,F,25. Inception,Normal,8.43,2018-02-24
Kara Macias,85428097,F,16. Star Wars: Episode IV - A New Hope,Normal,8.63,2017-12-05
Patricia Dodson,71757904,F,19. The Matrix,Normal,8.63,2024-11-19
Sarah Anderson,29721488,F,17. The Lord of the Rings: The Fellowship of the Ring,Normal,6.74,2018-02-24
Scott George,39874894,M,11. Pulp Fiction,3D,10.82,2021-10-17
Drew Dominguez,54722454,M,2. The Godfather,Normal,8.77,2016-10-17
Anthony Ruiz,32159873,M,12. Fight Club,3D,10.9,2018-03-22
Kyle Powell,99270936,M,1. The Shawshank Redemption,Normal,7.02,2024-07-19
Judith Harris,60360579,F,20. Raiders of the Lost Ark,Normal,7.9,2016-12-16
Jay Tapia,36696605,M,2. The Godfather,3D,12.91,2018-12-19
Amy Smith,88162499,F,15. Metropolis,3D,10.3,2020-04-19
Tiffany Cooper,49279301,F,11. Pulp Fiction,Normal,8.98,2023-11-10
Steven Strong,97972520,M,"6. The Good, the Bad and the Ugly",Normal,6.63,2017-10-02
Shelley Gomez,11144674,F,14. 2001: A Space Odyssey,Normal,7.41,2023-04-21
Mr. Taylor Fields,65654856,M,3. Citizen Kane,Normal,8.8,2016-07-06
Jennifer Wolfe MD,18131732,F,18. Terminator 2: Judgment Day,3D,13.49,2016-12-01
Julie Dean,25250277,F,20. Raiders of the Lost Ark,3D,10.79,2018-02-05
Amy Barrett,41641173,F,"6. The Good, the Bad and the Ugly",3D,10.07,2020-08-03
Paula Howard,38447425,F,"6. The Good, the Bad and the Ugly",Normal,8.56,2015-12-19
Autumn Wells,54911470,F,14. 2001: A Space Odyssey,Normal,6.6,2016-11-24
Robert Morgan,96009111,M,2. The Godfather,3D,12.91,2023-01-06
Bill Hamilton,45951939,M,19. The Matrix,3D,11.22,2015-06-07
Tristan Sexton,17460150,M,4. 12 Angry Men,3D,12.32,2018-07-19
Katrina Chang,26592270,F,2. The Godfather,3D,11.7,2020-03-26
Megan Roberts,73517148,F,5. Schindler's List,3D,10.51,2017-10-07
Laura Moore,17031045,F,15. Metropolis,3D,10.27,2025-01-15
Kyle Price,13261032,M,23. Seven Samurai,3D,13.81,2017-04-21
Debra Porter,52498196,F,12. Fight Club,Normal,7.0,2015-08-28
Katie King,78186385,F,21. Casablanca,Normal,8.11,2019-07-03
John Guerrero,43337667,M,5. Schindler's List,3D,11.97,2022-07-29
Sarah Miller,87207223,F,13. Psycho,3D,13.53,2024-06-26
Terry Johnson,44825186,M,10. The Godfather Part II,Normal,7.3,2016-12-02
Amanda Davis,96119258,F,7. Star Wars: Episode V - The Empire Strikes Back,3D,10.22,2021-01-14
Jessica Esparza,21292503,F,17. The Lord of the Rings: The Fellowship of the Ring,3D,12.05,2024-05-30
Elizabeth Rowland,33720349,F,23. Seven Samurai,3D,13.13,2016-11-27
Belinda Wells,74429760,F,1. The Shawshank Redemption,3D,13.65,2024-06-21
Jordan Allen,73111331,M,8. The Lord of the Rings: The Return of the King,3D,13.9,2022-12-12
Miranda Garrett,47177972,F,"6. The Good, the Bad and the Ugly",3D,13.78,2022-10-11
William Gaines,15856704,M,25. Inception,3D,13.19,2020-04-11
Jamie Hodges,30879409,F,10. The Godfather Part II,Normal,8.48,2018-11-04
Samantha Lewis,73626288,F,1. The Shawshank Redemption,Normal,7.12,2017-03-21
Sean Knapp,12561396,M,12. Fight Club,Normal,8.42,2017-11-19
Elizabeth Richards,85706093,F,17. The Lord of the Rings: The Fellowship of the Ring,3D,11.25,2018-07-30
Carolyn Acosta,27105254,F,20. Raiders of the Lost Ark,Normal,7.65,2016-08-16
Matthew Kelley,25412401,M,23. Seven Samurai,Normal,7.58,2016-08-27
Jacqueline Erickson,84042632,F,18. Terminator 2: Judgment Day,3D,12.15,2021-06-05
Angela Perkins,97594044,F,"6. The Good, the Bad and the Ugly",Normal,6.61,2024-02-14
Elizabeth Brady,22962138,F,12. Fight Club,3D,10.73,2025-05-10
James Carlson,52343669,M,3. Citizen Kane,Normal,7.68,2025-05-10
Sandra Matthews,33712053,F,15. Metropolis,3D,11.27,2024-10-22
Daniel Pruitt,31157403,M,22. The Wizard of Oz,Normal,6.54,2020-05-31
Christopher Carter,58457663,M,1. The Shawshank Redemption,Normal,7.73,2018-04-22
Felicia Clark,87454463,F,23. Seven Samurai,Normal,6.58,2019-11-24
Mr. Paul Roberts,86768575,M,1. The Shawshank Redemption,Normal,6.31,2019-12-14
Tristan Parker,15514302,M,10. The Godfather Part II,Normal,6.58,2018-03-16
Matthew Lee,78872597,M,18. Terminator 2: Judgment Day,Normal,6.2,2023-11-15
Amanda Howard,18258085,F,20. Raiders of the Lost Ark,Normal,7.6,2021-12-13
Joshua Alvarez,60905369,M,10. The Godfather Part II,3D,13.59,2016-07-16
Christopher Myers,18639417,M,7. Star Wars: Episode V - The Empire Strikes Back,3D,10.64,2020-11-25
Arthur Bush,83279572,M,20. Raiders of the Lost Ark,3D,13.07,2017-03-23
Rhonda Valencia,41378630,F,5. Schindler's List,Normal,8.82,2016-05-21
Daniel James,40802391,M,20. Raiders of the Lost Ark,Normal,8.66,2024-01-20
Paul Mccoy,52782498,M,21. Casablanca,Normal,8.83,2019-09-30
Jennifer Garrett,85389107,F,7. Star Wars: Episode V - The Empire Strikes Back,3D,12.4,2025-04-21
Kurt Zimmerman,65325073,M,16. Star Wars: Episode IV - A New Hope,3D,11.57,2016-04-27
Brooke Thomas,73026227,F,14. 2001: A Space Odyssey,3D,11.61,2021-08-14
Scott Snyder,70689766,M,1. The Shawshank Redemption,3D,13.76,2018-06-30
Colton Contreras,69599561,M,12. Fight Club,Normal,6.44,2017-12-07
Ricardo Brown,31972762,M,25. Inception,Normal,7.52,2019-02-05
Maria Mitchell,60552911,F,11. Pulp Fiction,3D,10.16,2025-04-08
Pamela Brown,99971470,F,23. Seven Samurai,3D,11.77,2021-10-10
Carrie Murphy,36362645,F,25. Inception,Normal,8.16,2016-10-17
Christine Wilson,83055486,F,3. Citizen Kane,3D,10.28,2017-11-23
Tammy Brown,45577721,F,14. 2001: A Space Odyssey,3D,10.33,2019-08-04
Nathan Bennett,24534862,M,13. Psycho,Normal,6.08,2023-03-15
Michael Hernandez,96727292,M,3. Citizen Kane,3D,13.9,2016-07-28
Mrs. Katherine Stevens,43599660,F,4. 12 Angry Men,3D,10.75,2020-09-07
Melanie Kelly,73182881,F,17. The Lord of the Rings: The Fellowship of the Ring,Normal,8.71,2024-04-11
Maria Bishop,88368125,F,25. Inception,Normal,8.28,2021-04-24
Jeffrey May,94168567,M,17. The Lord of the Rings: The Fellowship of the Ring,3D,10.11,2020-02-14
Ricardo Roberson,25167614,M,16. Star Wars: Episode IV - A New Hope,Normal,7.36,2021-01-22
Anthony Marshall,31637125,M,23. Seven Samurai,Normal,8.1,2019-05-04
Mitchell Casey,94571258,M,21. Casablanca,Normal,6.96,2018-07-25
Mark Young,56261571,M,9. The Dark Knight,Normal,8.98,2018-07-19
Jorge Ramirez,29677132,M,21. Casablanca,Normal,6.82,2021-08-11
Nathan Ayers,78685310,M,19. The Matrix,Normal,8.64,2024-10-03
Erin Smith,58698217,F,13. Psycho,Normal,8.36,2017-12-11
Ryan Davis,58628115,M,13. Psycho,Normal,7.78,2021-01-28
Tammy Taylor,22759204,F,16. Star Wars: Episode IV - A New Hope,Normal,8.76,2021-08-09
Patrick Weaver,66622146,M,2. The Godfather,3D,13.74,2025-03-23
Ms. Julie Collins,72323322,F,14. 2001: A Space Odyssey,Normal,6.42,2023-06-03
Chloe Lane,19423074,F,16. Star Wars: Episode IV - A New Hope,3D,13.85,2018-09-26
Stacy Owen,27291743,F,22. The Wizard of Oz,Normal,7.38,2015-08-17
Valerie Ball,41563935,F,7. Star Wars: Episode V - The Empire Strikes Back,3D,11.74,2017-03-18
Michael Cunningham,18132699,M,21. Casablanca,Normal,7.63,2018-01-21
David Davis,25948067,M,"6. The Good, the Bad and the Ugly",Normal,6.88,2017-12-24
Michelle Ramos,29916583,F,2. The Godfather,3D,11.13,2017-06-18
Laura Rios,76845706,F,13. Psycho,3D,12.81,2020-10-08
Andrew Smith,11796916,M,15. Metropolis,Normal,7.5,2023-05-12
Thomas Rose,74367504,M,9. The Dark Knight,3D,10.54,2015-09-08
Kimberly Morris,25189062,F,17. The Lord of the Rings: The Fellowship of the Ring,Normal,8.69,2022-10-02
Kevin Andrade,13778017,M,16. Star Wars: Episode IV - A New Hope,3D,11.5,2020-04-29
Heather Vargas,89337186,F,22. The Wizard of Oz,3D,12.28,2016-06-26
Barbara Powers,81510165,F,10. The Godfather Part II,3D,10.02,2018-12-15
Michael Jimenez,36664593,M,10. The Godfather Part II,3D,11.21,2018-12-16
Veronica Carroll,78468710,F,8. The Lord of the Rings: The Return of the King,3D,11.82,2025-02-02
Brittany Mccann,33126384,F,5. Schindler's List,Normal,7.59,2024-05-14
Mary Parker,48302288,F,11. Pulp Fiction,Normal,8.67,2023-11-13
John Duran,46534688,M,15. Metropolis,3D,10.0,2024-10-02
Aaron Chan MD,15096863,M,15. Metropolis,3D,12.55,2018-12-17
Matthew Hogan,41651513,M,20. Raiders of the Lost Ark,3D,10.44,2016-07-25
Eric Watts,68146805,M,11. Pulp Fiction,Normal,7.83,2019-07-31
Christopher Cruz,44152734,M,20. Raiders of the Lost Ark,Normal,8.25,2025-04-05
Micheal Hale,60489823,M,"6. The Good, the Bad and the Ugly",3D,12.9,2024-06-07
Maria Tucker,14603620,F,19. The Matrix,3D,12.97,2022-04-04
Sarah Kim,77803167,F,25. Inception,Normal,6.53,2018-06-17
Debra Bell,84501364,F,3. Citizen Kane,3D,12.63,2021-07-14
John Dickson,54024421,M,8. The Lord of the Rings: The Return of the King,3D,11.11,2019-04-02
Erica White,81770138,F,3. Citizen Kane,Normal,8.48,2021-11-13
Victoria Phillips,78978389,F,22. The Wizard of Oz,Normal,7.2,2017-05-29
Stephen Lambert,18393734,M,9. The Dark Knight,Normal,6.17,2023-05-15
Virginia Shah,53014713,F,20. Raiders of the Lost Ark,Normal,7.87,2018-07-28
Joshua Lambert,61538818,M,17. The Lord of the Rings: The Fellowship of the Ring,Normal,8.25,2022-04-21
Alisha Hayden,16404525,F,4. 12 Angry Men,3D,10.9,2019-11-13
Jennifer Burnett,37884903,F,18. Terminator 2: Judgment Day,3D,10.59,2024-09-20
Antonio Thompson,96434659,M,5. Schindler's List,Normal,7.91,2016-04-21
Christina Cooper,35054862,F,20. Raiders of the Lost Ark,3D,12.49,2018-08-19
Mark Smith,69971460,M,4. 12 Angry Men,3D,13.15,2022-10-03
Eddie Walker,26608499,M,2. The Godfather,Normal,8.6,2019-11-04
Rachel Moreno,57138870,F,23. Seven Samurai,Normal,6.81,2022-05-19
Kristina Rhodes,68696765,F,18. Terminator 2: Judgment Day,Normal,7.25,2016-06-08
Sean Stanton,89229097,M,16. Star Wars: Episode IV - A New Hope,3D,10.12,2021-01-12
Nicole Daniels,95250335,F,"6. The Good, the Bad and the Ugly",3D,13.16,2023-01-08
Lindsay Ryan,34546543,F,"6. The Good, the Bad and the Ugly",Normal,7.5,2017-11-10
Kerry Shaw MD,91253662,M,13. Psycho,Normal,8.66,2015-08-30
Ryan Costa,31637536,M,24. Forrest Gump,Normal,7.21,2022-12-09
Jonathan Allison,71729792,M,1. The Shawshank Redemption,3D,13.85,2022-03-14
Eric Hudson,76820665,M,15. Metropolis,3D,10.35,2018-05-24
Lisa Kelley,70757576,F,15. Metropolis,3D,10.28,2020-12-11
Ernest Brown,56247165,M,16. Star Wars: Episode IV - A New Hope,Normal,8.87,2018-03-26
Amy Dennis,53376058,F,7. Star Wars: Episode V - The Empire Strikes Back,3D,10.07,2016-05-10
Jeremy Allen,92479586,M,"6. The Good, the Bad and the Ugly",Normal,7.86,2016-01-07
Alicia Mendez,74055944,F,21. Casablanca,3D,13.58,2024-03-22
Karen Delgado,34037122,F,25. Inception,3D,12.97,2020-09-25
Mark James,19413812,M,17. The Lord of the Rings: The Fellowship of the Ring,Normal,8.61,2019-04-19
Bobby Smith,96443402,M,13. Psycho,Normal,8.11,2024-11-07
Willie Stanton,89540892,M,22. The Wizard of Oz,Normal,8.68,2022-03-11
Nicole Parrish,22649148,F,17. The Lord of the Rings: The Fellowship of the Ring,3D,12.58,2017-06-25
Benjamin Hudson,23676408,M,15. Metropolis,3D,11.91,2020-05-28
Meredith Ramsey,30613432,F,8. The Lord of the Rings: The Return of the King,3D,13.91,2016-02-13
Yolanda Williams,64686731,F,"6. The Good, the Bad and the Ugly",3D,11.67,2021-10-22
Daniel Young,18422052,M,18. Terminator 2: Judgment Day,3D,13.25,2023-04-22
Carolyn Harris,29930970,F,1. The Shawshank Redemption,3D,11.64,2018-03-26
Melinda Welch,53623457,F,15. Metropolis,Normal,6.66,2023-05-03
Anthony Wilson,43583609,M,21. Casablanca,3D,11.76,2024-03-26
Donald Cook,62027458,M,23. Seven Samurai,3D,11.56,2021-02-13
Stephanie Bell,11909297,F,10. The Godfather Part II,3D,13.01,2022-07-09
Kyle Jordan,65527494,M,3. Citizen Kane,Normal,6.49,2021-04-19
Mr. Kristopher Patel,95249606,M,8. The Lord of the Rings: The Return of the King,Normal,8.8,2017-06-25
George Taylor,68766816,M,2. The Godfather,Normal,8.68,2023-06-15
Amy Smith,45802139,F,8. The Lord of the Rings: The Return of the King,3D,11.56,2020-12-19
Kaitlyn Vasquez,18204079,F,16. Star Wars: Episode IV - A New Hope,3D,13.16,2020-10-30
Tiffany Hill,17237380,F,17. The Lord of the Rings: The Fellowship of the Ring,3D,11.85,2022-11-17
Steve Martinez,27936549,M,3. Citizen Kane,3D,13.11,2023-02-11
Amy Griffin,21181466,F,11. Pulp Fiction,3D,13.66,2023-06-12
Brandon Foster,81634528,M,4. 12 Angry Men,3D,11.36,2024-02-10
Pamela Chandler,16291978,F,4. 12 Angry Men,Normal,8.22,2015-08-07
Christopher Williams,97688542,M,15. Metropolis,Normal,7.98,2024-07-23
