nombre,dni,genero,pelicula,formato,precio,fecha_visita,Año,Género,Rating (pro),Votos
Megan Coleman,47257168,F,Maricón Canela,3D,12.15,2026-04-01,2012,Comedy,,
Yolanda Garcia,26865575,F,Valor para seguir tocando,3D,10.59,2026-04-24,2008,"Documentary,Music",,
Veronica Travis,42223414,F,The Big Muster,Normal,8.07,2026-02-09,1975,Documentary,,
Heather Cruz,13750287,F,The Second Coming of John Cooper,Normal,7.09,2026-01-24,2026,Comedy,,
Yvonne Richards,38671055,F,Control; Alt; Delete: Dr. Stundel's Program to Reboot Your Dangerous Teen,3D,13.69,2025-09-05,,Comedy,,
Ronnie Robles,91036367,M,Gangster Party,Normal,8.38,2025-06-21,2002,"Crime,Drama",5.0,57.0
Diana Bartlett,68748018,F,Trouble,Normal,7.04,2026-04-01,2019,Drama,,
John Carter,55871130,M,Hidden Desire,Normal,8.76,2026-03-12,1990,Adult,,
Teresa Jackson,99581381,F,Supernormal,3D,10.07,2026-06-07,,"Comedy,Horror",,
Jesus Rhodes,62887663,M,The Oscar Winner,3D,11.0,2026-04-07,,"Drama,Fantasy",,
Gary Sullivan,23859436,M,Thandie,3D,12.95,2025-08-27,2025,Drama,,
Michael Neal,63961682,M,Keserü igazság,Normal,8.37,2025-11-05,1956,Drama,6.9,68.0
Alexander Henry,72025601,M,The Farlooker,3D,13.09,2026-01-10,2022,Thriller,,
Elizabeth Mendez,26508296,F,Prikazano vzyat zhivym,3D,11.23,2025-07-28,1984,"Action,Thriller",6.3,59.0
John Mitchell MD,30839309,M,Bring Me the Head of Mavis Davis,3D,10.12,2025-07-13,1997,"Comedy,Crime,Music",5.2,597.0
Mrs. Cynthia Murphy MD,69661846,F,The Warrior,Normal,8.57,2026-02-10,2001,"Adventure,Drama",6.6,2897.0
Nathan King,31050221,M,Mania,Normal,6.23,2025-11-17,1971,"Adult,Horror",3.9,70.0
Alexandria Davis,95373932,F,Liang zai gan tan,3D,13.86,2026-04-17,1988,Action,,
James Cohen,95654479,M,The Dowry,Normal,6.81,2025-10-27,2025,Comedy,3.5,6.0
Gary Bryant,31736114,M,Gosto Se Discute,Normal,8.56,2026-03-06,2017,"Comedy,Drama",5.0,270.0
Lawrence Hanna,51247251,M,Life in One Chord,3D,10.6,2025-06-08,2025,Documentary,8.2,24.0
Teresa Wilson,15792099,F,Pitiodhar,Normal,6.01,2025-07-31,1922,,,
Mary Harris,13457592,F,Instant Orgasms! Her Body Learns to Convulse in Ecstasy. Karen Kaede. I Never Knew What a Real Orgasm Felt Like Until Now...,Normal,8.27,2025-08-28,2019,"Adult,Romance",9.3,9.0
Kevin Hayes,33249441,M,Mental,Normal,6.77,2025-10-26,2020,Documentary,,
Daniel Garcia,41599353,M,Don't Go Near the Water,3D,11.44,2026-02-17,1957,"Adventure,Comedy,Romance",6.1,952.0
Amy Miller,16936473,F,Princess of the Ursinos,Normal,8.96,2026-04-15,1947,"Drama,History,Romance",5.9,50.0
Jacqueline Mason,88156977,F,Trucker the Origin,3D,12.02,2026-02-27,,Thriller,,
Dustin West,80727989,M,Cola for Tea,3D,11.84,2025-10-24,1999,Drama,5.9,42.0
Rachel Alvarez,19288378,F,Strange Journey,Normal,8.19,2026-01-18,1946,"Action,Adventure,Crime",6.1,46.0
Maureen Hernandez MD,67868767,F,Violent Milan,3D,10.04,2025-09-19,1976,"Action,Crime,Drama",6.4,359.0
Andrew Mora,31492292,M,Il tenore,Normal,7.79,2025-06-09,1913,,,
Taylor Rodriguez,90286378,F,Garuda,Normal,7.71,2025-09-22,2004,"Action,Fantasy",4.2,448.0
Catherine Cooper,98001933,F,Blood Rage,Normal,8.67,2025-06-25,1987,Horror,5.8,6509.0
Thomas Lopez,59634401,M,China Dream,3D,12.92,2025-10-18,2020,Documentary,7.3,7.0
Glenda Romero,99395339,F,Prediction,3D,10.9,2025-06-21,1990,,,
Diana Flores,36299135,F,Petrol,Normal,8.27,2026-04-01,2005,Action,,
Rodney Davis,83866507,M,Don't Go Near the Water,3D,12.28,2026-04-15,1957,"Adventure,Comedy,Romance",6.1,952.0
Vanessa Turner,44704764,F,The Set Up,Normal,8.72,2025-09-13,1963,Drama,6.4,92.0
Kristina Leon,29100689,F,Devce z Podskalí,3D,13.57,2026-01-09,1922,Drama,,
David Obrien,54994408,M,Nancy Drew and the Hidden Staircase,3D,10.25,2025-07-23,2019,"Comedy,Crime,Drama",5.7,5825.0
Michael Mcdowell,57644850,M,Petrol,3D,10.22,2025-12-26,2005,Action,,
Jerry Montgomery,89267936,M,Sasquatch 1: It Begins; the Curse of the Were-squatch,3D,13.24,2026-04-24,2018,Horror,7.2,12.0
Vincent Ewing,75564639,M,The Legacy of a Whitetail Deer Hunter,Normal,6.27,2026-05-20,2018,"Comedy,Drama",5.5,4479.0
Lacey Jimenez,68264496,F,Secret Seduction,Normal,7.56,2025-06-27,2020,Drama,3.9,13.0
Deborah Navarro,55180554,F,The Girl in Yellow,3D,11.91,2025-11-26,2024,Horror,8.2,15.0
Alicia Allen,40118761,F,Sergeant Pepper,Normal,6.3,2026-03-20,2004,Family,5.2,167.0
Ashley Moss,80217983,F,Gambino,Normal,6.73,2025-12-26,,"Biography,Crime,Drama",,
Kyle Bond,49801379,M,Resistor,3D,11.12,2025-08-20,2021,"Action,Adventure,Animation",,
Kristopher Rich,84628995,M,Mark Vasthunnadu,Normal,8.41,2026-01-19,2011,,,
Sara Hughes,63639495,F,This Day Forward,Normal,6.35,2025-07-30,2018,Family,8.8,76.0
Sara Rodriguez,48717246,F,Doomsday County,Normal,6.66,2026-01-19,2010,Horror,4.6,93.0
Christina Morales,43293673,F,Ecoute,3D,13.29,2026-01-01,2017,Documentary,,
Cynthia Flores,73019402,F,The Last Bigfoot,3D,13.58,2025-07-23,,Family,,
Patrick Johnson,84414165,M,Apoteosi,Normal,6.22,2026-04-20,1934,,,
Alicia Adkins,24913079,F,La revanche du Sacristain cannibale,Normal,7.06,2025-11-10,2006,Horror,,
Melissa Mccormick,21681557,F,500 Miles North,3D,12.68,2025-09-17,2014,Drama,8.3,44.0
Christina Hughes,47247016,F,Sanam Teri Kasam,3D,10.07,2025-10-31,2009,"Action,Drama,Romance",4.1,202.0
Lauren Guerrero,54687224,F,Natural,3D,10.67,2025-11-10,2002,,6.3,8.0
David Bradshaw,48622178,M,The Camp Followers,Normal,7.81,2025-11-18,1965,"Drama,War",7.4,924.0
Walter Moore,70977127,M,For Our Day: Divinely Sanctioned Governments,3D,12.63,2025-10-07,2013,Documentary,,
David Harris,24038456,M,Vice Squad,3D,10.7,2026-03-12,1953,"Crime,Drama,Film-Noir",6.8,1607.0
Kimberly Smith,76734636,F,The Wright Brothers,3D,12.23,2025-12-03,,Biography,,
Margaret Ortiz,65315761,F,Bootcamp,Normal,8.68,2026-06-06,1999,Documentary,,
Daniel Baker,20813662,M,Tree,3D,12.84,2026-05-02,,"Action,Crime,Drama",,
Mario Morales,32140504,M,I Haven't Heard of Me Either,3D,11.67,2025-09-24,2019,Documentary,,
Jennifer Chen,32033466,F,La femme fatale,Normal,6.22,2025-09-30,1946,Drama,6.0,11.0
Sergio Underwood,83971547,M,50 for 50: Volume 2 - The Documentary Tradition: Tape 1,3D,10.27,2025-06-19,1989,Documentary,,
Cindy Kerr,25894171,F,Sergeant Pepper,3D,12.41,2025-06-15,2004,Family,5.2,167.0
Jason Adkins,61275102,M,Bekas,Normal,7.05,2026-02-11,2012,"Adventure,Drama",7.5,6413.0
Christopher Patterson,53862501,M,Aashik Aawara,3D,11.32,2025-12-26,2016,Romance,,
Elizabeth Robertson,91224188,F,A Season in France,3D,11.38,2025-11-08,2017,Drama,6.3,665.0
Danny Harris,80689443,M,O Campeão,Normal,7.91,2025-08-23,1931,"Drama,Romance,Sport",,
Timothy Bell,25810313,M,The Outpost,3D,13.18,2025-10-08,,War,,
Amy Tate,69003450,F,Paragraph 78,Normal,8.68,2026-03-01,2007,"Action,Sci-Fi,Thriller",4.9,2286.0
David Turner,70831230,M,Der Fluch des Schweigens,Normal,8.08,2026-05-18,1922,,,
Michael Obrien,60315293,M,Sullivan's Sluggers,3D,13.41,2025-11-18,,Horror,,
Kenneth Anderson,74347836,M,El último de los Vargas,3D,11.95,2025-11-28,1930,"Drama,Western",,
Joshua Clark,16841992,M,Deseta zapoved,Normal,6.45,2025-11-10,2003,Crime,7.2,13.0
Dawn Nelson,20723988,F,J'irai où tu iras,3D,10.99,2025-11-02,2019,"Comedy,Drama",5.4,588.0
Taylor Carter,33965785,F,From Below,3D,10.53,2025-12-12,,"Horror,Thriller",,
Laura Watts,12197251,F,Southern Carrier,3D,11.02,2026-05-30,1937,Drama,6.7,66.0
Phillip Garcia,61257089,M,Crónica dos Bons Malandros,Normal,7.17,2026-06-05,1984,Comedy,5.7,217.0
Anthony Cummings,51694571,M,Holt of the Secret Service,Normal,6.05,2025-09-23,1941,Drama,6.5,135.0
Jamie Valdez,94386712,F,Skate in Tokyo,3D,10.95,2026-04-02,2025,Documentary,,
Tiffany Massey,23922846,F,Nowhere Street,3D,13.53,2025-07-28,2006,"Crime,Drama",3.2,18.0
Nathan Hawkins,89496202,M,Girls Unbutton,Normal,6.65,2025-10-24,1994,"Comedy,Romance",4.8,276.0
Michael Campbell,51569219,M,Super High Me,3D,13.38,2025-06-29,2007,"Comedy,Documentary",6.0,13234.0
Debra Miller,91983528,F,Vice Squad,Normal,8.15,2025-12-04,1953,"Crime,Drama,Film-Noir",6.8,1607.0
Amber Carroll,68083879,F,Obutamatira,3D,13.3,2025-09-09,2024,Drama,,
Troy Roth,10254952,M,'Dikke Bertha' op doortocht in Brussel,Normal,7.58,2025-10-05,1919,Documentary,,
Rhonda Ross,19064566,F,My Experience,3D,13.62,2026-05-30,2017,Drama,7.0,10.0
Patricia Collins,94325064,F,The WAC from Walla Walla,Normal,7.97,2026-02-12,1952,Comedy,6.0,37.0
David Johnson,87594660,M,Control; Alt; Delete: Dr. Stundel's Program to Reboot Your Dangerous Teen,Normal,6.09,2025-10-31,,Comedy,,
Zachary Edwards,89135921,M,Joe Frazier: When the Smoke Clears,3D,13.58,2025-10-16,2011,"Biography,Documentary,Sport",7.3,45.0
Martin Smith,25292749,M,The Moments,3D,10.44,2025-11-07,2023,Documentary,,
Carrie Lopez,80922692,F,Aeternae,3D,13.47,2026-02-05,,Horror,,
Margaret Campos,18257191,F,Jeepney Boy,Normal,8.5,2026-03-24,1966,"Action,Romance",,
Roy Salinas,95480095,M,Wicked Funny 2,3D,12.07,2025-11-21,2013,"Comedy,Documentary",,
Lisa Hernandez,53000096,F,Posible,3D,10.39,2025-12-08,2007,Drama,,
Katie Lopez,82300533,F,Nothing Left to Lose,3D,13.21,2026-01-21,1983,Drama,5.7,28.0
Natalie Clark,35464716,F,Neethone Nennunna,Normal,7.41,2026-01-13,2006,Drama,,
Amy Davis,63769684,F,Vyrthok: Scourge of the Abyss,3D,13.62,2026-03-26,,"Action,Horror,Sci-Fi",,
Joy Oconnor,92717706,F,Earthlings: Ugly Bags of Mostly Water,3D,13.45,2025-11-05,2004,Documentary,7.1,34.0
Kelly Evans,82539224,F,Giuliano Montaldo: Quattro volte vent'anni,3D,12.64,2025-07-09,2012,Documentary,8.2,11.0
Daniel Stanley,60678692,M,Kusruthikaatu,3D,12.52,2025-08-05,1995,"Action,Comedy,Drama",5.3,78.0
Rachel Hall,76709001,F,Fuga desesperada,3D,11.41,2025-11-07,1961,,4.3,10.0
Mary Webb,64131588,F,Trigger Happy,3D,11.41,2026-01-17,2025,"Comedy,Crime,Thriller",4.1,473.0
John Edwards,40698659,M,Marvelous and the Black Hole,3D,11.87,2026-01-01,2021,"Comedy,Drama",6.2,2526.0
Anne Howell,45866771,F,Lucky Village,3D,11.97,2026-05-17,2004,Drama,,
Steven Harris,20054931,M,The Fiddler of Dooney,Normal,7.66,2026-01-29,2001,Documentary,,
Robert Peterson,89691624,M,"The Manaus Opera House, Brazil",Normal,8.42,2025-07-19,2005,Documentary,,
Randall Barker,34924222,M,Ficción,Normal,7.95,2026-04-25,2020,Documentary,,
Richard Clark,19021047,M,Taina jocului de cuburi,3D,13.57,2025-08-07,1990,Family,5.5,18.0
Christopher Irwin,80550797,M,Mellusire Savigana,Normal,7.7,2026-05-14,2004,,,
Max Miller,54551686,M,The Zen of Julie Weiss,3D,12.71,2025-11-06,2024,Documentary,,
Lindsay Wagner,34574603,F,God of kiss,Normal,7.63,2026-04-24,2021,"Comedy,Drama",,
Ariel Cook,72982533,F,Riparazioni,3D,12.72,2026-01-21,2022,Documentary,,
Justin Johnson,28166149,M,Fel a fejjel,3D,13.55,2026-02-19,1954,Comedy,7.5,99.0
Ashley Johnson,21440578,F,Ein Engel bleibt selten allein,Normal,7.63,2026-03-25,2001,,,
Elijah Christensen,85488839,M,The Warrior,Normal,7.23,2025-11-07,2001,"Adventure,Drama",6.6,2897.0
Beth Turner,35235982,F,Adam in Wonderland,Normal,8.72,2026-05-30,2014,"Adventure,Fantasy,Horror",,
Brenda Lopez,48220287,F,Napoli serenata calibro 9,3D,10.82,2025-06-22,1978,"Crime,Drama",5.6,151.0
Christina Edwards,23218962,F,Midsommar Stories,Normal,7.84,2026-04-28,1999,Drama,5.5,23.0
Angela Vaughn,24577278,F,Earth at Risk: Building a Resistance Movement to Save the Planet,3D,10.76,2026-02-03,2011,Documentary,7.4,15.0
Marissa Golden,72062602,F,I Haven't Heard of Me Either,3D,13.77,2025-10-17,2019,Documentary,,
Kelly Wood,24819844,F,Cade,3D,13.4,2025-07-15,2017,Drama,,
Robert Hayes II,59906565,M,La buena vida,3D,10.37,2025-11-27,1966,Comedy,,
Randy Turner,97406311,M,The WAC from Walla Walla,3D,12.13,2025-09-19,1952,Comedy,6.0,37.0
Casey Mann,17412199,M,Loved Me Back,3D,11.35,2025-10-22,,Romance,,
Anna Davidson,25800858,F,Una nación en marcha,3D,11.38,2025-07-07,1972,,,
Theresa Ramsey,15575830,F,Lil' Yogis: Meet the Chakras,Normal,6.19,2025-08-19,2020,Animation,,
Samantha Knapp DDS,93146313,F,The Girl From Future,Normal,6.35,2026-01-08,2017,"Comedy,Drama,Fantasy",,
William Robertson,33345312,M,"Blue, Painful and Brittle",Normal,7.35,2025-12-03,2020,"Adventure,Drama",6.2,282.0
Mary Mccall,20514627,F,Rave,3D,13.68,2025-09-03,,Documentary,,
Sheryl Soto,46557870,F,Lambi & Lamkins,Normal,6.26,2025-08-31,,Crime,,
Paul Sullivan,58153836,M,When Things Go Wrong: Robin Lane's Story,Normal,6.29,2026-04-07,2013,"Biography,Documentary,Music",,
Robert Lindsey,75358824,M,The House on Sweet and Seventh,3D,13.98,2025-07-07,2020,Documentary,5.3,156.0
Becky Cruz,21772853,F,The Brawler,3D,11.77,2025-11-12,2018,Thriller,,
Anthony Garrett,57835802,M,Deep Fire: Kaam Utsav,3D,11.75,2025-12-10,1996,Thriller,,
Joshua Bradford,17279857,M,Jûnana-sai no document: Baishun yobigun,3D,13.82,2026-03-10,1979,,,
Leah Morales,20300750,F,El Color De La Musica,Normal,7.37,2025-12-23,2023,Documentary,,
Billy Li,94600556,M,Pillow Party,3D,10.27,2026-02-23,1970,,,
Devin Johnson,80391970,M,Race Across Italy,3D,11.76,2025-06-16,2021,Sport,,
Mark Wong,44776029,M,Bias: Le camp du mépris,Normal,8.64,2026-01-29,2022,Documentary,,
Donald Schmidt,92818244,M,Alaska.de,Normal,8.19,2025-11-05,2000,"Drama,Romance,Thriller",6.4,480.0
John Sullivan,32803027,M,Deseta zapoved,Normal,8.4,2026-04-29,2003,Crime,7.2,13.0
Robert Martin,91966906,M,China Dream,3D,11.4,2025-09-12,2020,Documentary,7.3,7.0
Brittany Tran,64233774,F,Drawing Dead (Final Cut),Normal,8.24,2025-08-22,2012,"Biography,Documentary,News",,
Nicole Booth,55337127,F,Conductor 007,Normal,7.9,2025-07-31,1966,Comedy,4.8,36.0
Meredith Ramirez,65161190,F,Paragraph 78,3D,10.42,2026-05-15,2007,"Action,Sci-Fi,Thriller",4.9,2286.0
Matthew Cooke,95584121,M,The Merchant of Venice,3D,12.93,2026-03-14,2015,Drama,,
James Jones,58159603,M,National Lampoon's Vacation,Normal,8.39,2025-07-04,1983,"Adventure,Comedy",7.3,128594.0
Michael Wolfe,86639531,M,The Girl in Yellow,3D,10.47,2025-07-06,2024,Horror,8.2,15.0
Paige Downs,45354790,F,La Sabina,3D,13.75,2026-05-10,1979,Drama,5.5,140.0
Kimberly Walker,66040008,F,Bröllopet i Bränna,Normal,8.84,2025-12-08,1926,Drama,,
Amy Smith,38570671,F,The Ash Lad: In the Hall of the Mountain King,3D,10.14,2025-09-20,2017,"Adventure,Family,Fantasy",6.2,4888.0
Robin Green,22575746,F,Untitled Coral Reef Project,3D,12.2,2025-06-25,,Documentary,,
Kerri Giles,90433142,F,Butterfly Rising,3D,11.87,2026-01-02,2011,Drama,6.8,30.0
Edward Myers,55274115,M,Neethone Nennunna,Normal,6.91,2025-07-28,2006,Drama,,
Scott Davenport,27597754,M,Superfast!,3D,12.62,2026-01-14,2015,"Action,Comedy,Crime",4.2,12029.0
Zachary Thomas,65828614,M,El hombre que vivió con miedo,3D,12.25,2025-08-30,2025,Documentary,7.4,7.0
Daniel Roman,93003969,M,Business of Betrayal,3D,13.42,2025-11-02,2022,"Action,Thriller",5.2,20.0
Allison Benjamin,43672779,F,Jefferson in Paris,Normal,6.24,2026-03-30,1995,"Biography,Drama,History",5.7,3301.0
Jerry Phillips,82718481,M,On the Run,Normal,6.51,2025-11-21,,"Drama,Romance",,
Leah Norton,97197839,F,Vad Balaton,3D,10.66,2025-11-17,2018,,8.1,30.0
Nicholas Saunders,23607642,M,From the Shadows,Normal,7.92,2025-07-09,2022,Documentary,7.3,11.0
Rebecca Johnson,28333739,F,Marry Who You Love,Normal,8.53,2026-03-20,2016,Drama,,
Brittany Hall,14085549,F,The Body,Normal,6.84,2026-04-11,2001,"Drama,Mystery,Romance",5.4,8676.0
Dawn Oconnor,64356726,F,The Salvation Poem,Normal,8.01,2026-05-19,2009,Drama,4.7,115.0
Joan Rodriguez,45674874,F,Good Cake Bad Cake: The Story of LIR,3D,12.01,2025-08-27,2011,Documentary,7.9,15.0
Joseph Ryan III,38898667,M,They Came from Below,Normal,6.75,2025-12-12,,"Horror,Thriller",,
Christopher Moore,77205187,M,Damatte maemite untenseyo,Normal,7.3,2025-06-10,2002,,,
Teresa Rivera,37037322,F,American Revolutionary: The Evolution of Grace Lee Boggs,Normal,7.14,2025-11-14,2013,"Biography,Documentary",7.7,148.0
Alexis Graham,55849061,F,Hell Burger,3D,12.78,2025-12-02,,"Action,Horror",,
William Estes,54435895,M,Le règne de l'impunité,Normal,7.08,2025-09-05,2013,Documentary,,
Margaret Bennett,11865386,F,America's Flying Aces: The Blue Angels 50th Anniversary,Normal,7.39,2025-07-02,1996,Documentary,4.8,24.0
Kristin Todd,21829265,F,The Alfred Victorian,Normal,7.57,2025-08-05,,Thriller,,
Elizabeth Love,55887921,F,Malditas & Condenadas,Normal,7.24,2025-10-12,2017,"Comedy,Fantasy,Horror",4.6,21.0
Amy Jones,87552043,F,Wo ist mein Safe Space,3D,11.89,2026-03-23,2022,Documentary,7.4,7.0
David Powers,79668821,M,A Quiet Business,Normal,6.86,2025-09-18,1964,"Comedy,Drama",,
Samantha Hoover,11979478,F,Memorias guerrilleras,3D,12.87,2026-02-09,2023,,,
Marcus Valentine,48352676,M,Happy Walter,Normal,6.8,2026-02-08,2007,Comedy,,
Samantha Washington,82165566,F,Another House on Mercy Street,3D,11.71,2026-01-23,1997,,,
Paul Thomas,18387632,M,Volkodav,Normal,8.81,2025-12-24,1992,Action,6.2,93.0
Taylor Jones,21099879,F,Linko,Normal,7.15,2026-06-07,2014,"Adventure,Drama,Sci-Fi",5.4,29.0
Christopher Griffith,95809259,M,Les chasseurs d'ombre,Normal,8.89,2026-03-16,2000,Documentary,,
Suzanne Lopez,95390356,F,Untitled Hayao Miyazaki Movie,Normal,7.3,2026-04-02,,"Action,Adventure,Animation",,
Taylor Keith,12409627,F,Super Grannies,3D,10.02,2025-10-05,2021,"Action,Adventure,Comedy",,
Chase Stevens,11895753,M,The Citizen,3D,12.5,2026-03-12,2016,Drama,7.1,903.0
Terri Spencer,67633138,F,Pronto? Anna sono io...,Normal,7.54,2025-10-17,2023,Documentary,,
Kimberly Raymond,57740513,F,"The Manaus Opera House, Brazil",3D,13.01,2026-05-21,2005,Documentary,,
Mr. Kevin Johnson,62482689,M,Mad Dogs,Normal,7.38,2025-07-12,2016,Documentary,8.5,11.0
Vicki Cruz,43425933,F,Outwit Out Drive,Normal,8.64,2025-07-02,,Action,,
Timothy Gilmore,18553268,M,The Laws of Eternity,Normal,6.6,2025-09-23,2006,Animation,5.6,77.0
Dawn Rodriguez,28100695,F,Pelt,Normal,8.49,2025-09-21,2010,"Comedy,Horror",3.6,603.0
Michelle Reid,94483089,F,Rebirth of a Legend,3D,12.39,2025-10-20,2009,Documentary,,
Christopher Henderson,66451058,M,Alif,3D,13.55,2025-12-20,2017,Drama,6.3,165.0
Jennifer Gonzalez,34915433,F,Violent Milan,Normal,6.63,2025-06-07,1976,"Action,Crime,Drama",6.4,359.0
Robert Barajas,82442675,M,Devudu Chesina Manushulu,Normal,6.15,2026-01-12,1973,"Action,Drama",7.5,67.0
Judith Williams,54124030,F,The Sonata,Normal,7.77,2025-11-22,2018,"Horror,Music,Mystery",5.3,1849.0
Daniel Kirk,34754905,M,DrugCula,3D,12.13,2026-02-22,2021,Sci-Fi,,
Kristen Mcbride,62316301,F,Golpe de gracia,3D,12.21,2026-06-06,1944,,,
Brandy Jimenez,44807867,F,De universiteit te Gent 'officieel' geopend,3D,13.64,2025-12-09,1933,Documentary,,
Ashley Shea,52479607,F,66 Months,Normal,7.46,2025-06-23,2011,Documentary,,
Alexis Ray,19248479,F,Vorvik,Normal,8.85,2026-04-04,2005,Drama,5.0,88.0
Aaron Hardin,69302864,M,Wine,3D,13.1,2025-07-19,2010,"Comedy,Drama,Romance",6.9,15.0
Ashley Perez,16539119,F,Vazhilakku,Normal,8.92,2026-01-24,1976,,,
Christopher Mcgee,18310525,M,Diego Star,Normal,6.15,2025-10-18,2013,Drama,6.7,209.0
Derek Oneill,75174791,M,Amityville Ghosts,3D,13.68,2026-03-31,,Horror,,
Todd Wallace,11342873,M,Rubbers,3D,10.83,2025-12-12,2010,"Drama,Romance",7.0,24.0
Yesenia Harris,61268474,F,Yoru hiraku,Normal,8.68,2026-03-11,1931,,,
Emily Holmes,99254827,F,The Titled Tenderfoot,3D,11.97,2025-08-20,1955,"Drama,Western",,
Michael Mcdaniel,72613085,M,Komediya davno minuvshikh dney,Normal,6.99,2025-10-23,1980,Comedy,5.3,72.0
Bryan Ford,71329790,M,Fahrenheit 11/9,3D,10.25,2026-05-17,2018,Documentary,7.2,21561.0
Matthew Brewer,80357928,M,Inside Peace,Normal,7.31,2025-11-27,2014,"Crime,Documentary,Drama",8.8,43.0
Robert Erickson,38066475,M,The Angel of Heaven: Narin,Normal,6.05,2025-10-05,,"Drama,Family,Horror",,
Jasmine Woodward,15856488,F,Night,3D,11.81,2026-05-28,2013,Drama,5.5,120.0
Alexandra Freeman,64101950,F,God of kiss,Normal,6.14,2026-02-17,2021,"Comedy,Drama",,
Keith Morrow,25116706,M,Kaliska,Normal,6.51,2025-10-21,,"Action,Drama,War",,
Joseph Roberts,33922465,M,Liang zai gan tan,Normal,8.99,2025-10-01,1988,Action,,
Alexander Terry,49126448,M,Gracias Por Venir,Normal,7.02,2025-08-09,2023,Drama,,
Alicia Caldwell,95487431,F,Wine,3D,13.73,2025-11-29,2010,"Comedy,Drama,Romance",6.9,15.0
Holly Parker,44829026,F,Bakit manipis ang ulap?,Normal,6.37,2026-04-26,1985,Drama,,
Michael Smith,47705489,M,Something Better,3D,10.63,2026-05-26,2003,"Comedy,Drama",7.2,18.0
Andre Harper,97333011,M,Qui è ora,Normal,7.13,2026-05-28,2018,Documentary,,
Jeremy Phillips,39017954,M,The Brown-tailed Butterfly of Kuryong,Normal,8.09,2025-11-13,1984,,,
Benjamin Johnson,88128393,M,The King of Robbery,Normal,6.53,2026-01-12,,Thriller,,
Kristen Li,38659421,F,Hell in the Heavens,3D,10.92,2025-12-13,1934,"Drama,War",7.1,53.0
Emily Pham,46502513,F,La promesse du biram,3D,11.52,2025-07-11,2016,Documentary,,
Samantha Hernandez,96525597,F,Palenque,Normal,6.82,2025-07-20,1990,"Drama,Musical",,
Denise Molina,22831163,F,Bröllopet i Bränna,3D,12.09,2026-05-13,1926,Drama,,
Amanda White,44559072,F,The Triumph of Right,3D,10.35,2026-04-14,1914,Drama,,
Robert Day,85459039,M,Jack Hodgins' Island,Normal,6.19,2025-11-28,1981,Documentary,,
