nombre,dni,genero,pelicula,formato,precio,fecha_visita
Brian Watkins,72133304,M,Straight Story,Normal,8.7,2026-05-19
Ronald Davis,78939896,M,Cantinflas profesor de historia,3D,10.86,2026-01-08
David Reeves,50578865,M,Moy paren - angel,Normal,7.16,2026-04-15
Joseph Murray,10676633,M,Virginia Casta,3D,12.92,2025-09-08
Steven Martin,13611952,M,Bu Uyoon,3D,13.59,2025-07-25
Deborah Delgado,87570196,F,La Familia del Barrio: La Maldición del Quinto Partido,3D,11.37,2025-10-13
Jason Brown,71688270,M,The Martini Shot,Normal,6.13,2025-12-06
Peter Richardson,62792560,M,Wonder Vi,Normal,6.14,2026-05-22
Bethany Hicks,92572434,F,"Florentina Hubaldo, CTE",3D,13.59,2025-12-31
Christina Rogers,22790925,F,Kafe Lale: Hubert vs. Kishev,3D,12.38,2026-03-01
Rachel Bartlett,87843544,F,The Irregulars,3D,12.48,2025-07-20
Dr. Dustin Shaw,88084440,M,Slenderverse: An Artistic Movement,Normal,7.71,2026-04-04
John Maddox,19195420,M,Dirty Job,Normal,8.74,2025-07-31
Cassandra Lane MD,99855086,F,Bandagistenglück,Normal,7.08,2026-04-01
Sandra Scott,56839633,F,War on the Other Bank,Normal,6.49,2026-02-17
Leonard Key,87292251,M,Pagan Island,Normal,6.16,2025-11-03
Eric Cole,88860186,M,Thriving,Normal,6.88,2025-10-02
Brenda Bradley,65671312,F,Wounded,3D,12.82,2025-11-15
Megan Powers,39980266,F,Silver Seas,3D,10.9,2025-06-21
Miranda Woods MD,31357037,F,Our Extraordinary Guests,Normal,8.02,2025-12-27
Isaiah Hernandez,60364638,M,"Habibi, chanson pour mes ami.e.s",Normal,7.58,2026-04-22
Sheena Howell,90348719,F,Vai pro Gol,Normal,8.64,2026-05-07
Louis Allison,62281495,M,Gondolj rám,Normal,6.3,2026-04-02
Veronica Craig,24641346,F,Borboletas e Garanhões,Normal,8.47,2026-01-21
Samantha Schroeder,21797222,F,Atómica,3D,10.89,2026-03-11
Walter Adams,83049069,M,Forbidden Quest,3D,10.48,2025-11-18
Jamie House,94036209,F,Behavior,Normal,7.39,2025-10-17
Allison Thompson,62028873,F,The Magic Sword,Normal,8.51,2026-05-13
Jonathon Ramirez,52892949,M,Refuge,3D,12.84,2026-01-17
Angela Giles,21905372,F,My Mother's Wound,3D,10.19,2025-11-16
Kendra Moore,44043554,F,The Prophet,3D,12.32,2025-09-21
Debra Bernard,47813288,F,Voltage,3D,12.92,2025-08-21
James Hunter,25489458,M,Captain Kidd and the Slave Girl,Normal,6.97,2025-07-08
Matthew Greene,25940446,M,Women of Desire,3D,10.76,2026-05-04
Kim White,14596692,F,There's a Zombie in Cavan,Normal,7.8,2026-02-08
Jasmin Noble,59100685,F,Hannah - et liv i to virkeligheter,Normal,6.01,2025-10-22
Lawrence Johnston,92028649,M,Das eherne Gesetz,Normal,6.7,2025-10-07
Jennifer Herrera,17282486,F,Amazing Graves,3D,10.89,2025-09-30
Ray Williams,41945787,M,Indeda engabomwa,Normal,6.67,2026-04-03
Carlos Stevenson,19568270,M,Requite,Normal,6.66,2026-03-24
Patty Roy,34682331,F,Leave No Trace,Normal,8.31,2026-05-24
Philip Ferguson,59428816,M,El cafre,3D,11.73,2025-11-17
Angelica Beard,48132750,F,R3,Normal,7.89,2025-10-28
Christian Peters,25703914,M,Kafe Lale: Hubert vs. Kishev,3D,10.05,2025-10-03
Mrs. Natalie Vargas,17037406,F,The Retreat,Normal,7.91,2025-08-18
Alexander Chapman,15086114,M,Erózió,Normal,6.99,2026-05-16
Ryan Cox,41626104,M,Drifting States,3D,10.68,2026-04-09
Evelyn Hall,63137118,F,Atómica,3D,11.47,2025-10-26
Bruce Watts,39171008,M,Brothers,Normal,6.68,2026-02-08
Emily Carter,62138035,F,"Animated Classics: 20,000 Leagues Under the Sea",3D,12.68,2026-01-08
Susan Galloway,56114344,F,One Night in October,Normal,7.32,2026-02-02
Sheryl Taylor,80067652,F,Moog,Normal,8.33,2026-05-08
Kathy Wise,12551641,F,Khai,Normal,8.47,2025-08-23
Jack Hamilton,77865737,M,The Sun Beyond the Sun,Normal,6.83,2025-12-01
Jessica Bailey,69650067,F,The Monroe Detail,3D,12.96,2026-02-01
Michelle Cunningham,18315308,F,C'era una volta il prossimamente,Normal,7.11,2026-03-13
Amber Ibarra,46614454,F,Tank Dive: Excerpts,3D,11.66,2025-10-05
Emily Wells,92289981,F,Place,3D,10.21,2026-02-19
Lauren Bryan,92557803,F,The Great Ecstasy of Robert Carmichael,Normal,6.73,2025-08-04
Travis Morales,16720480,M,Barsat Ki Ek Raat,3D,13.84,2026-05-20
Jeffery Jenkins,82864614,M,Meet the Filmmakers: Josh and Benny Safdie,3D,13.01,2025-11-06
Laurie Garcia,41805048,F,The Horses of Fukushima,Normal,7.75,2026-03-03
Matthew Ortiz,43105693,M,Kakera,Normal,7.78,2025-07-16
Cameron Davis,92715241,M,Alt/Escape,Normal,8.42,2026-02-23
Julie Williamson,32056244,F,Seifenblasen,3D,12.04,2025-09-03
Jessica Bailey,88422272,F,Cruel Winter: Survive the Storm,Normal,7.45,2025-09-15
Trevor Parsons,66488897,M,Light the Gas,Normal,7.76,2025-10-05
Darlene Fleming,99351691,F,The Phantom,3D,11.23,2026-02-01
Raymond Jenkins,15833020,M,Lover's Discourse,3D,11.23,2025-10-24
Jared Greer,86286054,M,Snuff Video,Normal,7.43,2026-04-21
Jared Graves,64848572,M,Correspondent in Tokyo,Normal,6.38,2026-04-20
Ms. Cynthia Thompson,25923608,F,Shadow of Treason,Normal,7.04,2025-12-10
Jonathan Smith,67199878,M,This Thing Called Love,3D,10.69,2025-12-09
Dwayne Holt,15351308,M,The Naked Kiss,3D,13.93,2026-03-20
Dawn Cochran,88311579,F,Hannah - et liv i to virkeligheter,Normal,8.37,2025-08-05
Keith Walker,60316998,M,SpeakEasy,Normal,6.19,2026-03-06
Rhonda Murillo,99813382,F,Humanes Töten,Normal,6.32,2026-04-08
Brenda Brennan,27813902,F,"Retour au Brouck - le marais Audomarois, 40 ans plus tard",3D,13.63,2025-12-14
Jeffrey Jensen,45690886,M,Godspeed,Normal,6.45,2026-04-10
Michelle Reyes,81751128,F,Someone to Watch Over Me,3D,11.86,2026-03-23
Teresa Thomas,74656468,F,Baguette magique,3D,13.72,2026-02-06
Sarah Webb,41900947,F,After School,Normal,8.4,2026-03-06
Kaitlin Burgess,71670994,F,Grand Prix of Europe,Normal,6.68,2025-11-02
Daniel Mann,61902424,M,An Unforgettable Autumn,Normal,6.11,2026-02-20
Maria Sanders,82294852,F,Christmas Comes Home,Normal,7.48,2025-10-10
Brenda Owens,55402345,F,Do the Right Film: Le cinéma Black américain aujourd'hui,Normal,6.57,2025-10-02
Alexis Young,56029745,F,Rembrandt,Normal,7.16,2025-08-06
Brittany Morris,99151788,F,Stormskerry Maja,3D,12.76,2025-10-23
Heather Snyder,16072106,F,Marriage and Other Four Letter Words,Normal,6.79,2025-08-13
Christopher Walker,78840581,M,Down's Revenge,Normal,6.54,2025-06-14
Melvin Proctor,29277457,M,Blanche est la nuit,Normal,6.93,2026-03-06
Catherine Lyons,72051073,F,Al-Seman W Al-Khareef,3D,12.64,2026-04-24
William Williams,28724276,M,Uppukandam Brothers,3D,11.9,2025-12-14
Timothy Hudson,19585904,M,Mahinhin vs. mahinhin,Normal,6.43,2025-11-08
Evan Martinez,78697411,M,Honeymoon Ranch,3D,11.25,2026-02-03
Kenneth Sexton,97712427,M,Indeda engabomwa,Normal,6.37,2025-11-09
Allison Quinn,34871320,F,Lungo il fiume,Normal,8.38,2025-06-14
Christopher Hall,88491398,M,Dental Plan,Normal,6.21,2025-07-14
Mrs. Danielle Gonzalez,50261786,F,Comrade Couture,3D,11.56,2026-02-12
Kimberly Davis,86510253,F,Lisa dagli occhi blu,3D,13.35,2025-09-01
Donald Campbell,90338499,M,Brilliant City,3D,10.25,2025-06-05
Caroline Baker,42362267,F,Black Horses,3D,13.26,2026-03-07
Darren Ramirez,93134977,M,Tâbimakurâ îpponzashî,Normal,7.66,2025-08-11
Cindy Cruz,70728813,F,"Florentina Hubaldo, CTE",Normal,7.69,2025-12-24
Julie Crawford,12740794,F,Down's Revenge,Normal,6.67,2025-09-07
James Ward,32745329,M,Zoners,Normal,8.34,2026-02-18
Anthony Cooper,43490989,M,Chess State,Normal,7.13,2025-09-06
Carmen Daniels,11011193,F,Some Girl(S),3D,12.89,2025-09-20
Kevin Patel,57751776,M,The Eavesdropper,Normal,7.86,2026-03-03
Chad Franco,30420868,M,El-Dadah Dudi,Normal,8.33,2026-01-31
Stephen Perez,52993075,M,My Sister's Keeper,Normal,7.47,2026-01-24
Christopher Wade,43878263,M,The Phantom,Normal,6.91,2026-05-24
Jennifer Hayes,19575545,F,Hermod,3D,12.38,2026-02-19
Brady Davis,90819750,M,The Bear and the Doll,3D,10.13,2025-07-16
Susan Smith,24068647,F,Humanes Töten,Normal,6.25,2025-07-30
Kyle Lewis,95721698,M,Dhuwani,Normal,7.3,2026-02-28
Erica Curtis,11770474,F,Bad Boy's Security,Normal,6.12,2026-02-10
Erica Espinoza,68684907,F,Van Gogh in Love,3D,10.95,2025-11-03
Peter Cortez,97023641,M,Behavior,3D,10.4,2026-05-12
Robin Watson,36124579,F,The Parrot Sings with Her Whole Body,3D,11.7,2025-12-16
Tina Carter,42211250,F,The Foster Mother,Normal,6.95,2025-07-20
Dr. Maria Taylor,31674693,F,Nights of Love,Normal,8.21,2026-05-25
Edward Pruitt,50654778,M,Judith X,Normal,7.09,2025-11-28
Michael Sanchez,40263759,M,Hermod,3D,12.98,2025-10-17
Luis Christensen,34731605,M,Drifting States,3D,11.77,2025-06-30
Kristen Mahoney,34454273,F,Virginia Casta,Normal,7.17,2026-03-20
Chelsea Sanders,14074365,F,Dark Journey,Normal,8.0,2026-05-08
Cole Horton,76633838,M,Beauty and Ashes,3D,13.34,2025-10-30
Kim Garrett,63693048,F,Awara,3D,13.91,2025-08-14
Mary Price,26389029,F,Julia,Normal,8.44,2025-10-11
Lisa Berger,90313237,F,The Prophet,3D,12.23,2025-06-12
Gary Sutton,82172972,M,Gipsy,3D,12.51,2025-10-19
Hannah Williams,46040023,F,La loca de la casa,3D,10.89,2025-12-05
Tim Lawson,83698895,M,Delivered,3D,10.96,2025-12-09
Cory Harris,28790276,M,Minus 168 Degrees,3D,13.38,2026-03-16
Matthew Bartlett,38672658,M,Marriage and Other Four Letter Words,3D,10.45,2025-07-20
Charles Johnson,93455025,M,Zombies Attack,Normal,7.14,2026-01-19
Daniel Taylor,14704949,M,The Sun Beyond the Sun,3D,12.49,2026-03-14
Jeremiah Aguilar,71855891,M,The King in Yellow,3D,13.63,2026-05-12
Andrew Chavez,60452044,M,Shojo wa kanashî,Normal,8.52,2025-11-19
Ana Diaz,40333127,F,Saint Nick,Normal,6.01,2025-09-26
Jeffrey Schwartz,26538480,M,Sezonowa milosc,Normal,6.12,2025-09-21
Lindsey Foster,87857644,F,Begging Your Pardon,Normal,6.19,2026-05-25
Stephen Hughes,96120284,M,The Guardians of Civilisation,Normal,7.23,2025-11-01
Scott Wood,90894984,M,Ang huling birheng bakla sa Balat-lupa,Normal,6.28,2025-10-13
Dr. Kevin Foster,32283978,M,Me and Milosevic,Normal,6.06,2025-12-05
Jacqueline James,56701659,F,Student of the Year 2,3D,11.97,2026-01-30
Jo Obrien,74979449,F,Torakku yarô: Ichiban hoshi kita e kaeru,3D,10.15,2025-11-27
Dr. Kevin Jensen MD,90245356,M,Phases of the Moon,3D,10.66,2025-10-14
Kim Jones,60202972,F,Baguette magique,3D,11.73,2026-05-29
Bailey Lam,98415672,F,La isla de los alacranes,Normal,7.57,2026-02-06
Aaron Palmer,28586920,M,Hotel Houffer,Normal,8.69,2026-03-08
Dennis Castro,50278830,M,Les démons de Jésus,Normal,7.98,2026-05-08
Jade Carrillo,89064200,F,Love After Love,Normal,7.51,2025-12-28
Rachel Miller,53607433,F,Queen of Broadway,3D,10.32,2025-07-05
Colleen Underwood,42917671,F,Adhuri Kahani,3D,12.15,2026-02-15
Anna Scott,68772046,F,Josef Hauser - Klang und Raum,Normal,7.8,2026-01-03
Bradley Tate,42565052,M,"Habibi, chanson pour mes ami.e.s",3D,11.33,2026-01-10
David Wilson,76558218,M,Van Gogh in Love,Normal,6.54,2025-07-26
Bryan Stewart,11196713,M,The Guardian Angel,Normal,7.53,2025-12-21
Sarah Rivera,75848443,F,Our Father,Normal,8.04,2026-04-12
Amy Dalton,58391454,F,Mating in Captivity,3D,10.57,2026-04-22
Chelsea Wang,23520075,F,Amar Prem,3D,12.78,2025-09-28
James Reid,51934710,M,Murdered on the Fourth of July,Normal,6.57,2025-08-26
Cheryl Black,49927866,F,Before the Vigil,3D,13.96,2026-01-21
Daniel Smith,96771649,M,Girls About Town,Normal,6.91,2025-08-26
Mark Jones,35654503,M,Marianela y el cadáver,Normal,7.66,2025-12-27
Maureen Johnson,82675212,F,Aylesbury Dead 2,Normal,6.43,2026-03-17
Gina Peterson,16791853,F,Niko: Beyond the Northern Lights,Normal,8.07,2026-04-20
Jessica Barnes,83050277,F,The Wedding Year,3D,13.31,2026-02-10
Mrs. Jessica Morris,29135576,F,Mad Extravagant City,3D,10.56,2026-04-29
Lisa Smith,14029454,F,Joel D. Wynkoop's Nekoda,Normal,8.24,2025-09-20
Thomas Taylor,57999573,M,Wounded,Normal,8.59,2025-09-20
Cynthia Burns,14945149,F,Fentanyl and Families in the Midwest: The Devastating Impact of Opioids,Normal,6.02,2025-07-26
Kimberly Phillips,66663638,F,Auto Destruct: One Man's Obsession with William Shatner,3D,11.71,2026-05-21
Nicholas Hull,52915919,M,Gipsy,Normal,7.9,2026-03-11
Melissa Miranda,75934527,F,Rodney Atkins: Take a Back Road Live,Normal,7.38,2026-05-13
Joshua Thomas,13766471,M,Tshnamu Ankoxnum,3D,13.81,2025-10-24
Mark Jackson,82514701,M,La loca de la casa,Normal,6.03,2026-05-10
Sonia Rose,93410902,F,Do the Right Film: Le cinéma Black américain aujourd'hui,Normal,8.86,2025-11-04
Spencer Haynes,60026108,M,Komaram Puli,3D,12.74,2025-08-20
Thomas Flores,27104573,M,Hagitha's Diary,Normal,7.24,2026-03-12
Michele Reyes,30548288,F,Lucked Up,Normal,6.19,2026-02-03
Michael Davis,83117806,M,Khai,Normal,8.87,2025-07-31
Kelsey Wilson,27920307,F,Santo Pio,3D,10.03,2026-04-30
David Cordova,86248706,M,"Our Time, Our Story: 20 Years' New Taiwan Cinema",Normal,7.37,2026-04-06
Tammy Hinton,83791950,F,Thriving,3D,10.69,2025-11-03
John Vasquez,61306481,M,Int Dark Room Night,3D,12.59,2025-12-15
Kenneth Macdonald,49823598,M,Aarum Anyaralla,3D,13.36,2026-02-23
Rebecca Williams,75618472,F,The Tormented,3D,13.71,2025-12-31
Lisa Bush,24954918,F,Minus 168 Degrees,Normal,8.97,2026-03-11
Kimberly Arroyo,18902733,F,Rocío y José,Normal,8.15,2025-07-20
Robin Rojas,82909013,F,Bullit & Riper,3D,11.77,2025-10-13
Mary Torres,65643244,F,Der Adler vom Velsatal,Normal,7.79,2026-02-25
April Davies,61585598,F,Jakub,3D,11.5,2026-01-19
Amanda Matthews,39060224,F,Unhuman Nature,Normal,7.82,2025-10-18
Patrick Richards,50140265,M,Burning Fire,Normal,7.48,2025-09-21
Andrew Jones,48181188,M,Evariki Vare Yamuna Theere,3D,11.23,2026-04-16
Corey Alvarez,71243860,M,Brother and Sister,Normal,7.3,2025-07-15
William Mendez,56307050,M,In Search of Pure Colour: Pierre Bonnard 1867-1947,3D,13.1,2025-11-24
Lisa Brock,95276964,F,Grandad and Me,Normal,8.77,2025-08-11
Brian Guzman,75194761,M,OnePeople: The Celebration,3D,12.21,2026-03-27
Daniel Bennett,12940474,M,Opus Diabolicum - The Orchestral Live Show,3D,11.06,2026-03-11
James Cunningham,93271196,M,From the Sun,Normal,7.58,2026-04-05
Jessica Wall,62250497,F,Lover's Discourse,Normal,8.86,2025-09-04
Gregory Spears,99421664,M,Xixiang ji,Normal,6.39,2026-04-19
Teresa Martin,87731746,F,My Winnipeg,Normal,6.82,2025-09-09
Kenneth Griffin,89947406,M,Vartha Re Vartha,3D,10.46,2026-05-15
Charlene Martinez,57517251,F,Games of the XXI Olympiad,Normal,6.79,2026-04-15
Mary Hanson,58007586,F,4:44 Last Day on Earth,3D,10.01,2026-01-15
Becky Oconnell,49044753,F,Wormhole: The another paradise,3D,12.05,2026-04-12
Caroline Anderson,81729072,F,Stineheid,Normal,6.41,2026-01-03
Luis Fisher,43757602,M,Izgubljeni zavicaj,3D,11.36,2026-04-02
Richard Miller,77493615,M,4 Dollars of Revenge,3D,13.06,2025-09-09
Jeremy Collins,12507256,M,Repossessed,Normal,8.22,2026-02-17
Courtney Hooper,49898396,F,The Experiment: Black and White at V.E.S.,3D,13.2,2025-07-09
Joseph Mckay,86007120,M,Byttinger,Normal,8.55,2025-06-13
Rebecca Nelson,11095694,F,Blanche est la nuit,Normal,6.59,2025-11-25
Rachel Mckinney,31090482,F,Profile,Normal,6.01,2025-11-01
Melissa Reyes,81401835,F,Young Sister-In-Law 5,Normal,8.91,2026-01-22
Alyssa Lowery,93556569,F,The Life of Reilly,Normal,6.66,2026-03-08
Joel Mcbride,59982706,M,Hot Pursuit,3D,11.99,2025-07-22
Corey Erickson,42715825,M,The Secret of a Leader,3D,12.39,2025-08-29
Tammy Collins,12481082,F,Ein Prinz verliebt sich,3D,13.79,2026-05-28
Sarah Martinez,44075166,F,Ein Mann im schönsten Alter,Normal,6.83,2026-02-08
Michael Walters,58472139,M,Byttinger,3D,10.37,2025-06-18
Jessica Bryant,66181890,F,Revolutionshochzeit,3D,11.41,2026-01-06
Charles Ramirez,40637326,M,Before the Vigil,Normal,8.3,2025-11-08
Jennifer Wallace,96889974,F,The Vanishing Frontier,Normal,8.45,2025-07-28
Ronald Saunders,70232339,M,Rekkai Mulaithen,3D,12.38,2026-04-06
Danielle Fowler,55192969,F,The Madcap,Normal,6.74,2026-03-13
James York,93174356,M,The Irregulars,Normal,7.72,2026-01-03
Stephanie Cardenas,42069389,F,Equipo Crónica. Arte de trinchera,Normal,8.82,2025-11-28
Stephen Harris,53582227,M,All Souled Out,Normal,6.84,2026-04-04
Andrew Nguyen,13557547,M,Somewhere by the Sea,3D,13.41,2026-03-27
Steven Taylor,29264639,M,Here After,3D,12.88,2026-05-21
Laura Hernandez,56991757,F,Ponni Thirunaal,3D,13.17,2026-04-21
Amber Mccoy,83788038,F,Koto Shopno Koto Asha,3D,12.68,2025-09-12
Angela Melton,28467590,F,Paradise City,3D,12.95,2025-10-20
Linda Rojas,62038920,F,Dreaming of Ashlea,Normal,8.65,2026-01-31
William Park,32760689,M,Dirty Job,Normal,8.27,2025-12-31
Laura Beck,78629689,F,The Writing's on The Wall,3D,12.7,2026-05-08
Tyler Lopez,93428072,M,Lots & Lots of Toy Trains Vol. 1: Big Trains & Little Trains!,3D,12.53,2026-01-19
Sarah Jordan PhD,74681785,F,Groupies,3D,12.44,2025-07-04
Jeffrey Kim,52984218,M,Strange Planet,Normal,7.87,2026-03-11
Pam Williams,57593580,F,My Winnipeg,Normal,6.33,2025-07-07
George Martin,92883053,M,Mission Blue,3D,10.58,2025-08-03
Randy Clark,30192824,M,Ekskul,3D,12.57,2026-02-28
Jeffrey Rose,72329466,M,Kurzal 388,3D,11.95,2025-08-06
Andrew Padilla,14388268,M,Kiss Me Goodbye,3D,11.92,2026-04-10
Katherine Hoover,73876362,F,Vozvrashcheniye v belyi al'bom,3D,10.52,2026-01-14
Terri Stevenson,23307262,F,Blanche est la nuit,3D,12.97,2025-07-08
Micheal Smith,51824667,M,Brood,3D,13.57,2025-06-19
Jessica Keith,15373881,F,Umon torimonochô: Manji kumo,Normal,7.14,2026-02-04
Thomas Thomas,58275151,M,Polytechnic,3D,13.69,2026-05-05
John Holden,33338035,M,Van Gogh in Love,3D,11.04,2026-01-11
Daniel Garcia DDS,42722760,M,This Thing Called Love,Normal,7.44,2026-03-10
Stephanie Miller,53670723,F,Life Gamble,Normal,7.52,2025-11-10
Marissa Goodwin,14139815,F,Confessions of a Cuckoo,Normal,8.5,2025-10-10
Dawn Martin,16384735,F,What Men Don't Know About Women,Normal,8.21,2026-04-14
Eduardo Gonzales,83612252,M,I Will Smash You,Normal,6.66,2025-09-18
Laura Nolan,98118968,F,The Street Descends to the Sea,Normal,7.68,2026-03-02
Blake Gardner,13727767,M,I Am No One,3D,10.5,2025-08-06
Juan Archer,59174030,M,Furia en la isla,3D,11.88,2026-05-08
Kimberly Sutton,76768992,F,Las sicodélicas,Normal,7.82,2026-05-27
Felicia Peterson,68185380,F,Hamlet,3D,12.12,2026-03-13
Michael Terry,26378734,M,Tedi Papavrami and François-Frédéric Guy at the Palazzetto Bru Zanefestival,Normal,8.02,2025-08-12
James Robbins,78891938,M,Hai,3D,11.53,2025-08-13
Krista Bowman,89877837,F,Joyfluid,Normal,6.98,2026-03-12
Craig Smith,20135221,M,Warau kyotou,3D,12.19,2026-03-16
Taylor White,67938259,F,The Wedding Year,3D,10.27,2025-07-03
Tyler Richardson,16079554,M,The Sacrifice,3D,10.36,2025-12-24
Scott Johnson,91731983,M,Sengoku uzura,3D,13.88,2026-03-09
Dawn Duffy,77026638,F,The Hard Way,Normal,6.82,2025-06-29
Daniel Wilson,58702327,M,History Rediscovered: Battle of Russia,3D,10.03,2026-03-15
Andrea Newman,10717724,F,A Chain Reaction,3D,12.28,2025-10-06
Patrick Johnson,75899240,M,Monsieur Papa,Normal,7.43,2025-09-03
John Rivera,14554565,M,MBUBE - Die Nacht der Löwen,Normal,8.52,2025-10-31
Kimberly Baker,71411380,F,Ten Pieces II,3D,13.33,2025-11-19
Jessica Sandoval,66302505,F,El cafre,3D,13.02,2025-10-26
Shelley Clark,94942034,F,This Thing Called Love,3D,11.53,2025-08-20
William Yoder,75967671,M,Skazany: Reaktywacja,3D,12.43,2025-12-17
Bradley Davis,14812077,M,Console Wars,3D,11.44,2026-01-30
Kimberly Carter,57689510,F,Two Locks of Hair: The Missing Girls of Dersim,Normal,8.97,2026-01-19
Debra Lowe,52622936,F,Rodney Atkins: Take a Back Road Live,Normal,6.07,2025-07-12
Mr. Jack Wang,45929197,M,American English,Normal,6.5,2026-05-29
Mrs. Pamela Garcia,80544424,F,Silence,Normal,6.67,2025-06-11
Phillip Baker,15862452,M,The Princess in a Nightrobe,Normal,6.96,2025-10-26
Christine Graves,96718223,F,Un peu d'amour,3D,12.07,2025-09-12
Justin Wilson,85585869,M,Outlaws,Normal,6.71,2025-12-23
Heather Austin,87446567,F,Hears My Voice,Normal,6.33,2026-04-07
Krista Little,65733123,F,Erózió,Normal,7.0,2025-08-01
Jay Dominguez,75838116,M,Ombres,Normal,8.98,2026-02-09
Eugene Chang,73021687,M,"Princesse, à vos ordres!",3D,10.58,2026-04-26
Alison Bennett,59867450,F,Confessions of an Innocent Man,Normal,7.7,2025-09-13
Joseph Elliott,93154358,M,Polytechnic,Normal,8.1,2026-03-23
